id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
30037,FREE MOBILE,ALL,LTE 2100,(LA SOUCARÈDE) 34790 GRABELS,34116,"43.6492,3.7703",Pylône autostable,39m,HIVORY,False,False
33163,ORANGE,ALL,LTE 700,LA GRANDE ROMANIE RD 394 (LES FRICHES) 51460 COURTISOLS,51193,"49.0125,4.565",Pylône autostable,30m,HIVORY,False,False
70743,BOUYGUES TELECOM,SUP,GSM 900,(AVENAUD) 15500 ST PONCY,15207,"45.1633,3.1667",Pylône autostable,"14,0m",Inconnu,False,False
118390,DIGICEL,AJO,5G NR 3500,CUL DE SAC (PEA TREE HILL) 97150 ST MARTIN,97801,"18.1022,-63.0386",Pylône haubané,"12,0m",Particulier,False,False
226529,FREE MOBILE,AJO,5G NR 3500,VERS LE BOS GAUDIN (LA GAUDINIÈRE) 85630 BARBATRE,85011,"46.9417,-2.1731",Pylône autostable,"28,0m",ATC FRANCE,False,False
247617,FREE MOBILE,ALL,5G NR 3500,R DES VIRE VENTS ZONE ARTISANALE DE L'AIGUILLE (L'AIGUILLE EST) 40460 SANGUINET,40287,"44.4967,-1.0547",Pylône autostable,"45,0m",HIVORY,False,False
265248,BOUYGUES TELECOM,SUP,GSM 900,CH D'EAU (LES HUGUENOTS) 28310 GOMMERVILLE,28183,"48.3381,1.94",Château d'eau - réservoir,37m,"Syndicat des eaux, Adduction",False,False
265520,BOUYGUES TELECOM,SUP,GSM 900,(COTE DE VAITE) 25360 CHAMPLIVE,25116,"47.2931,6.2358",Pylône autostable,22m,TDF,False,False
278901,BOUYGUES TELECOM,SUP,GSM 900,25 B R DES JUIFS 59214 QUIEVY,59485,"50.1694,3.4206",Pylône autostable,"12,0m",BOUYGUES,False,False
300783,ORANGE,ALL,"LTE 700, 5G NR 2100, 5G NR 3500",21 CHEM PAUL HOAREAU (LE BARIL DES HAUTS) 97442 ST PHILIPPE,97417,"-21.3631,55.7264",Pylône autostable,16m,ORANGE,False,False
317881,OUTREMER TELECOM,ALL,5G NR 3500,CH DU RADAR (DUBISQUET) 97139 LES ABYMES,97101,"16.2847,-61.4547",Pylône autostable,37m,Outremer Telecom,False,False
328515,DIGICEL,ALL,"LTE 1800, LTE 2100, LTE 2600",(MALMANOURY) 97315 SINNAMARY,97312,"5.2958,-52.8394",Pylône autostable,"52,3m",ORANGE,False,False
335857,SFR,ALL,LTE 800,CHEM RURAL DIT DE LA CARRIERE (LA CARRIÈRE) 08160 VENDRESSE,08469,"49.6092,4.7931",Pylône autostable,"36,4m",HIVORY,False,False
350065,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 700, LTE 800",ROUTE DE CHAVIGNY (TERRE DE LA GRILLE) 02600 LONGPONT,02438,"49.2781,3.2133",Pylône tubulaire,15m,HIVORY,True,False
350065,FREE MOBILE,SUP,"UMTS 900, LTE 700",ROUTE DE CHAVIGNY (TERRE DE LA GRILLE) 02600 LONGPONT,02438,"49.2781,3.2133",Pylône tubulaire,15m,HIVORY,True,False
350065,ORANGE,SUP,"UMTS 900, LTE 700, LTE 800",ROUTE DE CHAVIGNY (TERRE DE LA GRILLE) 02600 LONGPONT,02438,"49.2781,3.2133",Pylône tubulaire,15m,HIVORY,True,False
360779,ORANGE,AJO,"LTE 700, LTE 2100",PRÈS D.132 (BRETONVILLIERS) 28700 AUNAY SOUS AUNEAU,28013,"48.4256,1.7853",Pylône autostable,25m,TOTEM,False,False
365465,ORANGE,AJO,"5G NR 700, 5G NR 3500",R DE L'EGLISE D 60 57310 GUENANGE,57269,"49.2947,6.1975",Monument religieux,"29,0m","Commune, communauté de communes",False,False
406272,SFR,AJO,LTE 700,D.13 (CLABÈRES) 64350 ARRICAU BORDES,64052,"43.5011,-0.1428",Mât,"12,0m",TOTEM,True,False
433466,ORANGE,ALL,"LTE 700, 5G NR 2100, 5G NR 3500",CD 36 NOTRE DAME DE LA PAIX (LA PETITE FERME) 97418 LE TAMPON,97422,"-21.2267,55.5725",Pylône autostable,"16,0m",ORANGE,False,False
435608,ORANGE,ALL,LTE 700,R DE LA BATAILLE DE COCHEREL (LA DEMI LUNE) 27200 VERNON,27681,"49.08,1.4542",Pylône haubané,"55,0m",TDF,False,False
436518,BOUYGUES TELECOM,ALL,"LTE 700, 5G NR 3500",AV DES TUCS CAMPING MUNICIPAL (LE PENON) 40510 SEIGNOSSE,40296,"43.6931,-1.4278",Pylône tubulaire,"36,0m",TOTEM,False,False
437833,ORANGE,ALL,LTE 700,BASE AÉRIENNE 123 BÂTIMENT PC2 45310 BRICY,45055,"47.9828,1.7756",Bâtiment,"18,0m",Autres,False,False
