id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
100560,FREE MOBILE,AJO,LTE 900,VC N°4 (LA COULOMBRIÈRE) 61410 RIVES D ANDAINE,61096,"48.5406,-0.4642",Pylône autostable,35m,TOTEM,,False,False
1008092,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUE FRÉDÉRIC CHOPIN / RUE PHILIPPE MARTIN PILIER DU VIADUC DE L'A31 54250 CHAMPIGNEULLES,54115,"48.7297,6.1606","Ouvrage d'art (pont, viaduc)",14m,"Commune, communauté de communes",2020-12-28,False,False
1009483,BOUYGUES TELECOM,ALL,5G NR 3500,20 R CHARLES GOUNOT 76380 CANTELEU,76157,"49.4558,1.0333",Immeuble,"29,1m","Copropriété, Syndic, SCI",2025-08-05,False,False
1010193,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUELLE ST MÉDARD / 17 PLACE ST ETIENNE FOYER DE L'ÉTUDIANT CATHOLIQUE 67200 STRASBOURG,67482,"48.5828,7.755",Immeuble,24m,Association,2019-12-05,False,False
1016686,FREE MOBILE,AJO,LTE 900,31 AVENUE ARTHUR MICHEL 45750 ST PRYVE ST MESMIN,45298,"47.8803,1.8703",Bâtiment,"17,5m","Commune, communauté de communes",,False,False
101756,ORANGE,AJO,"LTE 700, LTE 1800, 5G NR 2100",R DU GÉNÉRAL DE GAULLE EGLISE 67710 WANGENBOURG ENGENTHAL,67122,"48.6233,7.3078",Monument religieux,46m,"Commune, communauté de communes",,False,False
101756,ORANGE,SUP,GSM 900,R DU GÉNÉRAL DE GAULLE EGLISE 67710 WANGENBOURG ENGENTHAL,67122,"48.6233,7.3078",Monument religieux,46m,"Commune, communauté de communes",1996-10-04,False,False
1018261,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUE JEAN GABIN ZANNIER CONSTRUCTION 57280 MAIZIERES LES METZ,57433,"49.1972,6.1614",Pylône tubulaire,30m,TOTEM,2012-10-31,False,False
1033039,FREE MOBILE,AJO,LTE 900,116 RUE ORDENER 75018 PARIS 18,75118,"48.8933,2.3397",Immeuble,"27,5m",Particulier,,False,False
1037056,FREE MOBILE,AJO,LTE 900,38 RUE DIDEROT 38100 GRENOBLE,38185,"45.1911,5.7047",Immeuble,"19,4m",Particulier,,False,False
1042272,FREE MOBILE,AJO,LTE 900,77 RUE LOUIS PLANA 31500 TOULOUSE,31555,"43.6125,1.4742",Immeuble,20m,Particulier,,False,False
1048302,FREE MOBILE,AJO,LTE 900,6 RUE LOUIS BONIN 31500 TOULOUSE,31555,"43.6289,1.4114",Pylône tubulaire,36m,ON TOWER FRANCE,,False,False
105442,ORANGE,AAV,LTE 700,VOIE RURALE DITE DE DERRIÈRE LES HAIES (LA PETITE CROIX) 80120 FOREST MONTIERS,80332,"50.2414,1.7433",Pylône autostable,"46,6m",HIVORY,2025-08-27,False,False
1057013,FREE MOBILE,AJO,LTE 900,7B AVENUE DE VALMY 38100 GRENOBLE,38185,"45.1867,5.7444",Immeuble,"25,6m","Copropriété, Syndic, SCI",,False,False
106122,ORANGE,AJO,"LTE 700, 5G NR 2100",A 8 (SACCARON) 83910 POURRIERES,83097,"43.4817,5.7439",Pylône autostable,12m,TOTEM,,False,False
106122,ORANGE,SUP,LTE 2100,A 8 (SACCARON) 83910 POURRIERES,83097,"43.4817,5.7439",Pylône autostable,12m,TOTEM,2022-05-02,False,False
1092918,FREE MOBILE,AJO,LTE 900,18/20 RUE SEBASTIEN MERCIER 75015 PARIS 15,75115,"48.8447,2.2775",Bâtiment,"30,9m",Société HLM,,False,False
1101871,FREE MOBILE,AJO,LTE 900,36 BOULEVARD BARBES 13014 MARSEILLE 14,13214,"43.3247,5.375",Immeuble,"26,3m","Copropriété, Syndic, SCI",,False,False
1120182,FREE MOBILE,AJO,LTE 900,14 AV TOLOSANE 31520 RAMONVILLE ST AGNE,31446,"43.5517,1.47",Immeuble,"18,6m","Copropriété, Syndic, SCI",,False,False
1183834,FREE MOBILE,AJO,LTE 900,ROUTE DE PITHIVIERS- D. 22 (LES TROIS MUIDS) 45480 OUTARVILLE,45240,"48.24,2.0561",Pylône autostable,31m,TOTEM,,False,False
1186283,FREE MOBILE,AJO,LTE 900,"17, RUE HAMELIN 75116 PARIS 16",75116,"48.8669,2.2922",Bâtiment,28m,Société Privée,,False,False
1188282,FREE MOBILE,ALL,LTE 700, (LES SABLES) 28130 HANCHES,28191,"48.6075,1.6494",Pylône tubulaire,"31,6m",CELLNEX,2025-08-18,False,True
1191274,FREE MOBILE,AJO,LTE 900,2-12 BOULEVARD GASTON CRÉMIEUX 13008 MARSEILLE 08,13208,"43.2792,5.3803",Immeuble,"37,5m",Société HLM,,False,False
1191281,FREE MOBILE,AJO,LTE 900,343 BOULEVARD DE SAINTE MARGUERITE RESIDENCE LESTREMBLES 13009 MARSEILLE 09,13209,"43.2614,5.4156",Immeuble,23m,Société HLM,,False,False
1198796,FREE MOBILE,AJO,LTE 900,EARDS (LE GANIVET) 28140 BAIGNEAUX,28019,"48.1386,1.84",Pylône autostable,30m,TOTEM,,False,False
1206017,FREE MOBILE,AJO,LTE 900,37 RUE DE BELLEFOND 75009 PARIS 09,75109,"48.8781,2.3456",Immeuble,27m,Particulier,,False,False
1206056,FREE MOBILE,AJO,LTE 900,5-15 R DU PRÉ PERCHE 35700 RENNES,35238,"48.1069,-1.6817",Immeuble,"42,1m",Société HLM,,False,False
1206090,FREE MOBILE,AJO,LTE 900,"22, RUE DE L'INTERNE LOEB 53 R DES PEUPLIERS 75013 PARIS 13",75113,"48.8219,2.3531",Immeuble,"44,3m",Société HLM,,False,False
1206711,FREE MOBILE,AJO,LTE 900,3 PL DES CARMES 31500 TOULOUSE,31555,"43.5975,1.4442",Immeuble,25m,"Copropriété, Syndic, SCI",,False,False
1206755,FREE MOBILE,AJO,LTE 900,159 AVENUE DE FLANDRE 75019 PARIS 19,75119,"48.8939,2.3803",Immeuble,"33,4m",Société HLM,,False,False
1208427,FREE MOBILE,AJO,LTE 900,65 À 81 AV SECRETAN 75019 PARIS 19,75119,"48.8797,2.3767",Immeuble,"38,4m",Société HLM,,False,False
1208432,ORANGE,AJO,"LTE 700, 5G NR 2100",RUE D'ERCHES (LE QUESNOY) 80700 PARVILLERS LE QUESNOY,80617,"49.7417,2.7022",Château d'eau - réservoir,28m,"Syndicat des eaux, Adduction",,False,False
1208432,ORANGE,SUP,LTE 2100,RUE D'ERCHES (LE QUESNOY) 80700 PARVILLERS LE QUESNOY,80617,"49.7417,2.7022",Château d'eau - réservoir,28m,"Syndicat des eaux, Adduction",2024-05-24,False,False
1209093,ORANGE,AAV,LTE 700,CHEMIN RURAL DIT LE VIEUX MOULIN TERRAIN COMMUNAL 02110 SEBONCOURT,02703,"49.9478,3.4758",Pylône tubulaire,24m,TOTEM,2025-08-27,False,False
1212298,FREE MOBILE,AJO,LTE 900,CHEMIN RURAL DIT DE BERNOT PRÈS CHÂTEAU D'EAU (LE MOULIN FONDU) 02720 HOMBLIERES,02383,"49.8483,3.3764",Pylône autostable,20m,TOTEM,,False,False
1215437,FREE MOBILE,AJO,LTE 900,02 RUE VULPIAN 75013 PARIS 13,75113,"48.8325,2.3467",Bâtiment,"26,2m",Société Privée,,False,False
1215506,FREE MOBILE,AJO,LTE 900,"30,32 AV EDISON 75013 PARIS 13",75113,"48.8286,2.3633",Immeuble,"42,2m",Société HLM,,False,False
1216403,FREE MOBILE,AJO,LTE 900,1-5 IMPASSE RIVOLI 37200 TOURS,37261,"47.3742,0.6908",Immeuble,22m,Société HLM,,False,False
1262769,Gouv Nelle Calédonie (OPT),SUP,"GSM 900, UMTS 900",INCO CAMPEMENT 98834 YATE,98832,"-22.2731,166.9142",Mât métallique,"6,5m",Office des Postes et Télécom,2012-11-13,False,False
1273164,FREE MOBILE,AJO,LTE 900,RTE N°48 DE NEUFLIZE À TAGNON LES ÉPINETTES (EPINETTES) 08300 LE CHATELET SUR RETOURNE,08111,"49.4258,4.3033",Pylône autostable,35m,TOTEM,,False,False
1275396,FREE MOBILE,AJO,LTE 900,AV ROBERT BOMPARD 30900 NIMES,30189,"43.8328,4.3947",Pylône autostable,7m,ON TOWER FRANCE,,False,False
1279076,FREE MOBILE,AJO,LTE 900,CHEMIN DE LAMARTINE 13015 MARSEILLE 15,13215,"43.3739,5.3625",Pylône tubulaire,17m,FREE-MOBILE,,False,False
1279490,FREE MOBILE,AJO,LTE 900,CARREFOUR D 938 & C2 SITE ATFH (LES BAUDES) 80360 CURLU,80231,"49.9703,2.8194",Pylône autostable,51m,TOTEM,,False,False
1280803,FREE MOBILE,AJO,LTE 900,4 RUE DE L'AGRICULTURE BAT A 92700 COLOMBES,92025,"48.9133,2.2406",Immeuble,"24,8m",Société HLM,,False,False
1281841,FREE MOBILE,AJO,LTE 900,RUE DE BEAURIEUX CD 892 (LA GROSSE MONTAGNE) 02160 CRAONNELLE,02235,"49.4236,3.7636",Pylône tubulaire,30m,TOTEM,,False,False
1281841,ORANGE,AAV,LTE 700,RUE DE BEAURIEUX CD 892 (LA GROSSE MONTAGNE) 02160 CRAONNELLE,02235,"49.4236,3.7636",Pylône tubulaire,30m,TOTEM,2025-08-28,False,False
1287710,FREE MOBILE,AJO,LTE 900,28 RUE GINETTE NEVEU 75018 PARIS 18,75118,"48.9006,2.3456",Immeuble,"35,7m",Société HLM,,False,False
1288863,FREE MOBILE,AJO,LTE 900,16 AV DU PETIT BARTHÉLÉMY 13540 AIX EN PROVENCE,13001,"43.5192,5.4358",Immeuble,24m,Société HLM,,False,False
1292181,FREE MOBILE,AJO,LTE 900,12-14 BD DE PICPUS 75012 PARIS 12,75112,"48.84,2.4008",Immeuble,"43,1m",Société HLM,,False,False
1292188,FREE MOBILE,AJO,LTE 900,15 RUE ROTTENBOURG 75012 PARIS 12,75112,"48.8386,2.4058",Immeuble,"45,6m",Société HLM,,False,False
1301391,FREE MOBILE,AJO,LTE 900,121 BD SOULT 75012 PARIS 12,75112,"48.845,2.41",Bâtiment,40m,"Copropriété, Syndic, SCI",,False,False
1301418,ORANGE,AAV,LTE 700,CHEMIN HENRI IV (POEYLAUD) 64800 ST VINCENT,64498,"43.1808,-0.1642",Pylône autostable,34m,TOTEM,2025-08-25,False,False
