id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1009483,BOUYGUES TELECOM,ALL,5G NR 3500,20 R CHARLES GOUNOT 76380 CANTELEU,76157,"49.4558,1.0333",Immeuble,"29,1m","Copropriété, Syndic, SCI",2025-08-05,False,False
1419199,BOUYGUES TELECOM,AJO,5G NR 3500,3 R ANDRE COLLEDEBOEUF 75116 PARIS 16,75116,"48.8519,2.2697",Immeuble,31m,"Copropriété, Syndic, SCI",,False,False
1443482,BOUYGUES TELECOM,SUP,"GSM 1800, UMTS 2100",VC N°205 (LA LOGE) 16400 VOEUIL ET GIGET,16418,"45.5978,0.1583",Pylône autostable,"40,6m",HIVORY,2015-10-14,False,False
1452115,BOUYGUES TELECOM,SUP,"GSM 1800, UMTS 2100", (LES CHAMPS DE GOUTTIÈRE) 16600 MORNAC,16232,"45.6581,0.3061",Pylône autostable,40m,HIVORY,2016-07-22,False,False
1456862,BOUYGUES TELECOM,AJO,LTE 700,20 R DE L'AMIRAL COURBET 59800 LILLE,59350,"50.6306,3.0856",Immeuble,19m,Société HLM,,False,False
1462413,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 2100, 5G NR 2100",RD 2204 (GRANILE) 06540 BREIL SUR ROYA,06023,"43.9508,7.5103",Pylône autostable,16m,TDF,,False,False
1462413,BOUYGUES TELECOM,SUP,UMTS 2100,RD 2204 (GRANILE) 06540 BREIL SUR ROYA,06023,"43.9508,7.5103",Pylône autostable,16m,TDF,2019-12-19,False,False
1484581,BOUYGUES TELECOM,AJO,"LTE 700, LTE 2600, 5G NR 3500",CD 979 ROND POINT DU GRILL (LES COURTERELLES) 30220 ST LAURENT D AIGOUZE,30276,"43.6264,4.1911",Pylône tubulaire,"26,5m",ATC FRANCE,,False,False
1572874,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LE MATAS) 34360 PARDAILHAN,34193,"43.4836,2.8706",Pylône autostable,"12,7m",ATC FRANCE,,False,False
1582152,BOUYGUES TELECOM,ALL,LTE 700,31 BD DE LA PAIX 14200 HEROUVILLE ST CLAIR,14327,"49.1881,-0.3344",Pylône tubulaire,35m,HIVORY,2025-08-19,False,False
