id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
100560,FREE MOBILE,AJO,LTE 900,VC N°4 (LA COULOMBRIÈRE) 61410 RIVES D ANDAINE,61096,"48.5406,-0.4642",Pylône autostable,35m,TOTEM,,False,False
1016686,FREE MOBILE,AJO,LTE 900,31 AVENUE ARTHUR MICHEL 45750 ST PRYVE ST MESMIN,45298,"47.8803,1.8703",Bâtiment,"17,5m","Commune, communauté de communes",,False,False
1033039,FREE MOBILE,AJO,LTE 900,116 RUE ORDENER 75018 PARIS 18,75118,"48.8933,2.3397",Immeuble,"27,5m",Particulier,,False,False
1037056,FREE MOBILE,AJO,LTE 900,38 RUE DIDEROT 38100 GRENOBLE,38185,"45.1911,5.7047",Immeuble,"19,4m",Particulier,,False,False
1042272,FREE MOBILE,AJO,LTE 900,77 RUE LOUIS PLANA 31500 TOULOUSE,31555,"43.6125,1.4742",Immeuble,20m,Particulier,,False,False
1048302,FREE MOBILE,AJO,LTE 900,6 RUE LOUIS BONIN 31500 TOULOUSE,31555,"43.6289,1.4114",Pylône tubulaire,36m,ON TOWER FRANCE,,False,False
1057013,FREE MOBILE,AJO,LTE 900,7B AVENUE DE VALMY 38100 GRENOBLE,38185,"45.1867,5.7444",Immeuble,"25,6m","Copropriété, Syndic, SCI",,False,False
1092918,FREE MOBILE,AJO,LTE 900,18/20 RUE SEBASTIEN MERCIER 75015 PARIS 15,75115,"48.8447,2.2775",Bâtiment,"30,9m",Société HLM,,False,False
1101871,FREE MOBILE,AJO,LTE 900,36 BOULEVARD BARBES 13014 MARSEILLE 14,13214,"43.3247,5.375",Immeuble,"26,3m","Copropriété, Syndic, SCI",,False,False
1120182,FREE MOBILE,AJO,LTE 900,14 AV TOLOSANE 31520 RAMONVILLE ST AGNE,31446,"43.5517,1.47",Immeuble,"18,6m","Copropriété, Syndic, SCI",,False,False
1183834,FREE MOBILE,AJO,LTE 900,ROUTE DE PITHIVIERS- D. 22 (LES TROIS MUIDS) 45480 OUTARVILLE,45240,"48.24,2.0561",Pylône autostable,31m,TOTEM,,False,False
1186283,FREE MOBILE,AJO,LTE 900,"17, RUE HAMELIN 75116 PARIS 16",75116,"48.8669,2.2922",Bâtiment,28m,Société Privée,,False,False
1188282,FREE MOBILE,ALL,LTE 700, (LES SABLES) 28130 HANCHES,28191,"48.6075,1.6494",Pylône tubulaire,"31,6m",CELLNEX,2025-08-18,False,True
1191274,FREE MOBILE,AJO,LTE 900,2-12 BOULEVARD GASTON CRÉMIEUX 13008 MARSEILLE 08,13208,"43.2792,5.3803",Immeuble,"37,5m",Société HLM,,False,False
1191281,FREE MOBILE,AJO,LTE 900,343 BOULEVARD DE SAINTE MARGUERITE RESIDENCE LESTREMBLES 13009 MARSEILLE 09,13209,"43.2614,5.4156",Immeuble,23m,Société HLM,,False,False
1198796,FREE MOBILE,AJO,LTE 900,EARDS (LE GANIVET) 28140 BAIGNEAUX,28019,"48.1386,1.84",Pylône autostable,30m,TOTEM,,False,False
1206017,FREE MOBILE,AJO,LTE 900,37 RUE DE BELLEFOND 75009 PARIS 09,75109,"48.8781,2.3456",Immeuble,27m,Particulier,,False,False
1206056,FREE MOBILE,AJO,LTE 900,5-15 R DU PRÉ PERCHE 35700 RENNES,35238,"48.1069,-1.6817",Immeuble,"42,1m",Société HLM,,False,False
1206090,FREE MOBILE,AJO,LTE 900,"22, RUE DE L'INTERNE LOEB 53 R DES PEUPLIERS 75013 PARIS 13",75113,"48.8219,2.3531",Immeuble,"44,3m",Société HLM,,False,False
1206711,FREE MOBILE,AJO,LTE 900,3 PL DES CARMES 31500 TOULOUSE,31555,"43.5975,1.4442",Immeuble,25m,"Copropriété, Syndic, SCI",,False,False
1206755,FREE MOBILE,AJO,LTE 900,159 AVENUE DE FLANDRE 75019 PARIS 19,75119,"48.8939,2.3803",Immeuble,"33,4m",Société HLM,,False,False
1208427,FREE MOBILE,AJO,LTE 900,65 À 81 AV SECRETAN 75019 PARIS 19,75119,"48.8797,2.3767",Immeuble,"38,4m",Société HLM,,False,False
1212298,FREE MOBILE,AJO,LTE 900,CHEMIN RURAL DIT DE BERNOT PRÈS CHÂTEAU D'EAU (LE MOULIN FONDU) 02720 HOMBLIERES,02383,"49.8483,3.3764",Pylône autostable,20m,TOTEM,,False,False
1215437,FREE MOBILE,AJO,LTE 900,02 RUE VULPIAN 75013 PARIS 13,75113,"48.8325,2.3467",Bâtiment,"26,2m",Société Privée,,False,False
1215506,FREE MOBILE,AJO,LTE 900,"30,32 AV EDISON 75013 PARIS 13",75113,"48.8286,2.3633",Immeuble,"42,2m",Société HLM,,False,False
1216403,FREE MOBILE,AJO,LTE 900,1-5 IMPASSE RIVOLI 37200 TOURS,37261,"47.3742,0.6908",Immeuble,22m,Société HLM,,False,False
1273164,FREE MOBILE,AJO,LTE 900,RTE N°48 DE NEUFLIZE À TAGNON LES ÉPINETTES (EPINETTES) 08300 LE CHATELET SUR RETOURNE,08111,"49.4258,4.3033",Pylône autostable,35m,TOTEM,,False,False
1275396,FREE MOBILE,AJO,LTE 900,AV ROBERT BOMPARD 30900 NIMES,30189,"43.8328,4.3947",Pylône autostable,7m,ON TOWER FRANCE,,False,False
1279076,FREE MOBILE,AJO,LTE 900,CHEMIN DE LAMARTINE 13015 MARSEILLE 15,13215,"43.3739,5.3625",Pylône tubulaire,17m,FREE-MOBILE,,False,False
1279490,FREE MOBILE,AJO,LTE 900,CARREFOUR D 938 & C2 SITE ATFH (LES BAUDES) 80360 CURLU,80231,"49.9703,2.8194",Pylône autostable,51m,TOTEM,,False,False
1280803,FREE MOBILE,AJO,LTE 900,4 RUE DE L'AGRICULTURE BAT A 92700 COLOMBES,92025,"48.9133,2.2406",Immeuble,"24,8m",Société HLM,,False,False
1281841,FREE MOBILE,AJO,LTE 900,RUE DE BEAURIEUX CD 892 (LA GROSSE MONTAGNE) 02160 CRAONNELLE,02235,"49.4236,3.7636",Pylône tubulaire,30m,TOTEM,,False,False
1287710,FREE MOBILE,AJO,LTE 900,28 RUE GINETTE NEVEU 75018 PARIS 18,75118,"48.9006,2.3456",Immeuble,"35,7m",Société HLM,,False,False
1288863,FREE MOBILE,AJO,LTE 900,16 AV DU PETIT BARTHÉLÉMY 13540 AIX EN PROVENCE,13001,"43.5192,5.4358",Immeuble,24m,Société HLM,,False,False
1292181,FREE MOBILE,AJO,LTE 900,12-14 BD DE PICPUS 75012 PARIS 12,75112,"48.84,2.4008",Immeuble,"43,1m",Société HLM,,False,False
1292188,FREE MOBILE,AJO,LTE 900,15 RUE ROTTENBOURG 75012 PARIS 12,75112,"48.8386,2.4058",Immeuble,"45,6m",Société HLM,,False,False
1301391,FREE MOBILE,AJO,LTE 900,121 BD SOULT 75012 PARIS 12,75112,"48.845,2.41",Bâtiment,40m,"Copropriété, Syndic, SCI",,False,False
1302573,FREE MOBILE,AJO,LTE 900,46 RUE LABAT 75018 PARIS 18,75118,"48.8892,2.3475",Immeuble,"25,8m","Copropriété, Syndic, SCI",,False,False
1304853,FREE MOBILE,AJO,LTE 900,134 AVENUE DE NANTES 79000 NIORT,79191,"46.3425,-0.4906",Pylône autostable,"32,8m",ON TOWER FRANCE,,False,False
1316155,FREE MOBILE,AJO,LTE 900,16 RUE DE CERNAY 51100 REIMS,51454,"49.2575,4.0422",Immeuble,26m,"Copropriété, Syndic, SCI",,False,False
1317240,FREE MOBILE,AJO,LTE 900,RUE DU MARÉCHAL FOCH 5 PLACE RICHELME 13540 AIX EN PROVENCE,13001,"43.5292,5.4481",Bâtiment,23m,"Copropriété, Syndic, SCI",,False,False
1321817,FREE MOBILE,AJO,LTE 900,41 RUE DU GENERAL BUAT 44300 NANTES,44109,"47.2314,-1.5381",Bâtiment,27m,"Copropriété, Syndic, SCI",,False,False
1332248,FREE MOBILE,AJO,LTE 900,1 RUE CORBINEAU 75012 PARIS 12,75112,"48.8394,2.3819",Immeuble,"31,7m",Société HLM,,False,False
1333252,FREE MOBILE,AJO,LTE 900,21 PLACE DU COMMERCE 75015 PARIS 15,75115,"48.845,2.2936",Immeuble,"40,2m","Copropriété, Syndic, SCI",,False,False
1335924,FREE MOBILE,AJO,LTE 900,20 RUE LÉON 75018 PARIS 18,75118,"48.8878,2.3536",Immeuble,26m,"Copropriété, Syndic, SCI",,False,False
1345835,FREE MOBILE,AJO,LTE 900,258 RUE MARCADET 75018 PARIS 18,75118,"48.8931,2.3289",Immeuble,35m,Société Privée,,False,False
