id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1008092,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUE FRÉDÉRIC CHOPIN / RUE PHILIPPE MARTIN PILIER DU VIADUC DE L'A31 54250 CHAMPIGNEULLES,54115,"48.7297,6.1606","Ouvrage d'art (pont, viaduc)",14m,"Commune, communauté de communes",2020-12-28,False,False
1010193,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUELLE ST MÉDARD / 17 PLACE ST ETIENNE FOYER DE L'ÉTUDIANT CATHOLIQUE 67200 STRASBOURG,67482,"48.5828,7.755",Immeuble,24m,Association,2019-12-05,False,False
101756,ORANGE,AJO,"LTE 700, LTE 1800, 5G NR 2100",R DU GÉNÉRAL DE GAULLE EGLISE 67710 WANGENBOURG ENGENTHAL,67122,"48.6233,7.3078",Monument religieux,46m,"Commune, communauté de communes",,False,False
101756,ORANGE,SUP,GSM 900,R DU GÉNÉRAL DE GAULLE EGLISE 67710 WANGENBOURG ENGENTHAL,67122,"48.6233,7.3078",Monument religieux,46m,"Commune, communauté de communes",1996-10-04,False,False
1018261,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUE JEAN GABIN ZANNIER CONSTRUCTION 57280 MAIZIERES LES METZ,57433,"49.1972,6.1614",Pylône tubulaire,30m,TOTEM,2012-10-31,False,False
105442,ORANGE,AAV,LTE 700,VOIE RURALE DITE DE DERRIÈRE LES HAIES (LA PETITE CROIX) 80120 FOREST MONTIERS,80332,"50.2414,1.7433",Pylône autostable,"46,6m",HIVORY,2025-08-27,False,False
106122,ORANGE,AJO,"LTE 700, 5G NR 2100",A 8 (SACCARON) 83910 POURRIERES,83097,"43.4817,5.7439",Pylône autostable,12m,TOTEM,,False,False
106122,ORANGE,SUP,LTE 2100,A 8 (SACCARON) 83910 POURRIERES,83097,"43.4817,5.7439",Pylône autostable,12m,TOTEM,2022-05-02,False,False
1208432,ORANGE,AJO,"LTE 700, 5G NR 2100",RUE D'ERCHES (LE QUESNOY) 80700 PARVILLERS LE QUESNOY,80617,"49.7417,2.7022",Château d'eau - réservoir,28m,"Syndicat des eaux, Adduction",,False,False
1208432,ORANGE,SUP,LTE 2100,RUE D'ERCHES (LE QUESNOY) 80700 PARVILLERS LE QUESNOY,80617,"49.7417,2.7022",Château d'eau - réservoir,28m,"Syndicat des eaux, Adduction",2024-05-24,False,False
1209093,ORANGE,AAV,LTE 700,CHEMIN RURAL DIT LE VIEUX MOULIN TERRAIN COMMUNAL 02110 SEBONCOURT,02703,"49.9478,3.4758",Pylône tubulaire,24m,TOTEM,2025-08-27,False,False
1281841,ORANGE,AAV,LTE 700,RUE DE BEAURIEUX CD 892 (LA GROSSE MONTAGNE) 02160 CRAONNELLE,02235,"49.4236,3.7636",Pylône tubulaire,30m,TOTEM,2025-08-28,False,False
1301418,ORANGE,AAV,LTE 700,CHEMIN HENRI IV (POEYLAUD) 64800 ST VINCENT,64498,"43.1808,-0.1642",Pylône autostable,34m,TOTEM,2025-08-25,False,False
1414336,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",34 RUE DE LAUWIN PLANCQUE IMMEUBLE DE LA TOUR 59500 DOUAI,59178,"50.3811,3.0644",Bâtiment,31m,Société HLM,2015-04-17,False,False
1424920,ORANGE,AJO,"LTE 700, LTE 1800, 5G NR 2100",CHEM RURAL DU FIEF 02120 PROIX,02625,"49.8981,3.5647",Pylône autostable,30m,TOTEM,,False,False
1424920,ORANGE,SUP,LTE 2100,CHEM RURAL DU FIEF 02120 PROIX,02625,"49.8981,3.5647",Pylône autostable,30m,TOTEM,2022-08-31,False,False
1453662,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",CHEMIN DE BELLE CROIX D 69B 57070 VANTOUX,57693,"49.125,6.2314",Pylône tubulaire,30m,SNCF,2016-12-07,False,False
1505345,ORANGE,AJO,"5G NR 700, 5G NR 3500",CHEM RURAL (BREZENAUD) 07290 QUINTENAS,07188,"45.2003,4.6847",Pylône autostable,"28,6m",TOTEM,,False,False
1505345,ORANGE,SUP,"UMTS 2100, LTE 700",CHEM RURAL (BREZENAUD) 07290 QUINTENAS,07188,"45.2003,4.6847",Pylône autostable,"28,6m",TOTEM,2021-07-22,False,False
1546892,ORANGE,AJO,LTE 2100, (AUF DEN HOHWEG) 67490 LUPSTEIN,67275,"48.7394,7.5025",Pylône autostable,"25,4m",SNCF Réseau,,False,False
1546892,ORANGE,SUP,5G NR 2100, (AUF DEN HOHWEG) 67490 LUPSTEIN,67275,"48.7394,7.5025",Pylône autostable,"25,4m",SNCF Réseau,,False,False
1546896,ORANGE,AJO,LTE 2100, (WANNENBERG) 67270 GOUGENHEIM,67163,"48.7086,7.5944",Pylône autostable,"25,4m",SNCF Réseau,,False,False
1546896,ORANGE,SUP,5G NR 2100, (WANNENBERG) 67270 GOUGENHEIM,67163,"48.7086,7.5944",Pylône autostable,"25,4m",SNCF Réseau,,False,False
1560926,ORANGE,AJO,"LTE 700, 5G NR 2100",2 BIS RUE PIERRE LABONDE R DES CHAMPS 10380 PLANCY L ABBAYE,10289,"48.5692,3.9681",Pylône autostable,"37,5m",TOTEM,,False,False
1560926,ORANGE,SUP,LTE 2100,2 BIS RUE PIERRE LABONDE R DES CHAMPS 10380 PLANCY L ABBAYE,10289,"48.5692,3.9681",Pylône autostable,"37,5m",TOTEM,2024-02-06,False,False
1571950,ORANGE,ALL,"LTE 1800, 5G NR 2100",CHEM DETAUSSAC (TAUSSAC NORD) 33480 STE HELENE,33417,"44.9789,-0.96",Pylône autostable,40m,TOTEM,2025-08-06,False,False
1584133,ORANGE,ALL,"LTE 2100, 5G NR 700, 5G NR 3500",LE SERS (CARLA) 31290 RIEUMAJOU,31453,"43.4208,1.7947",Pylône autostable,31m,ATC FRANCE,2025-08-07,False,False
1602025,ORANGE,AAV,"LTE 700, LTE 800", (LASPLANTERES) 65350 POUYASTRUC,65369,"43.2528,0.1556",Pylône autostable,"32,1m",ATC FRANCE,2025-08-25,False,True
1603313,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",RUE DES SOEURS BOUQUEREL 59283 RAIMBEAUCOURT,59489,"50.4319,3.0939",Pylône tubulaire,39m,TOTEM,2016-12-22,False,False
