id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1443625,SFR,SUP,UMTS 2100, (GUIRAUD VAYLE) 81500 GIROUSSENS,81104,"43.7683,1.81",Pylône autostable,39m,TDF,2018-03-30,False,False
1455008,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100",AUX FRANCES 01170 CHEVRY,01103,"46.2889,6.0325",Pylône autostable,27m,ATC FRANCE,,False,False
1455008,SFR,SUP,UMTS 2100,AUX FRANCES 01170 CHEVRY,01103,"46.2889,6.0325",Pylône autostable,27m,ATC FRANCE,2017-09-28,False,False
1475118,SFR,ALL,LTE 700, (PLAINE DE CANTAU) 31870 LAGARDELLE SUR LEZE,31263,"43.4042,1.4022",Pylône autostable,30m,HIVORY,2025-08-12,False,False
1496784,SFR,ALL,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",28 R DE CHALIGNY 75012 PARIS 12,75112,"48.8478,2.3844",Immeuble,39m,TDF,2025-08-12,False,True
1525163,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100", (GRENELLE) 27780 GARENNES SUR EURE,27278,"48.9139,1.4422",Pylône autostable,32m,ATC FRANCE,,False,False
1525163,SFR,SUP,UMTS 2100, (GRENELLE) 27780 GARENNES SUR EURE,27278,"48.9139,1.4422",Pylône autostable,32m,ATC FRANCE,2018-12-21,False,False
1539133,SFR,AJO,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2600",AV PIERRE MENDÈS FRANCE GARE D'AUSTERLITZ 75013 PARIS 13,75113,"48.8389,2.3689",Tunnel,"5,5m",SNCF,,set(),True
1554782,SFR,AJO,LTE 700,PRES DE LES CHAMPS JOINTS ET DE LA ZI (LE CARREFOUR POIRIER) 49400 BELLEVIGNE LES CHATEAUX,49060,"47.2081,-0.0567",Pylône autostable,"45,1m",ATC FRANCE,,False,False
1559028,SFR,AJO,"LTE 700, 5G NR 3500",CHÂTEAU D'EAU (MÉNEZ BODIGOU) 29940 LA FORET FOUESNANT,29057,"47.9108,-3.9867",Château d'eau - réservoir,28m,Société Privée,,False,False
1574461,SFR,ALL,5G NR 3500,R CAMILLE FONDANÈCHE CROISEMENT R SALADAS (L'AGE) 87280 LIMOGES,87085,"45.8667,1.1742",Pylône autostable,15m,HIVORY,2025-03-24,False,False
1589815,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100",RÉSERVOIR DE VERNOY (ZONE DE LA VIEILLE TUILERIE) 89150 VERNOY,89442,"48.0956,3.115",Château d'eau - réservoir,41m,"Syndicat des eaux, Adduction",,False,False
1597311,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100", (LES VERNES) 03160 YGRANDE,03320,"46.5547,2.9506",Pylône autostable,27m,ATC FRANCE,,False,False
1597311,SFR,SUP,UMTS 2100, (LES VERNES) 03160 YGRANDE,03320,"46.5547,2.9506",Pylône autostable,27m,ATC FRANCE,2016-02-08,False,False
1602003,SFR,AJO,LTE 1800,ROUTE N151 (CHEMIN DE LA PRESLE) 18800 GRON,18105,"47.1292,2.715",Pylône autostable,"43,5m",TDF,,False,False
1602003,SFR,SUP,UMTS 2100,ROUTE N151 (CHEMIN DE LA PRESLE) 18800 GRON,18105,"47.1292,2.715",Pylône autostable,"43,5m",TDF,2016-01-13,False,False
1609903,SFR,ALL,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LA CROIX DE MAZERMAUD) 87130 LINARDS,87086,"45.7072,1.5319",Pylône autostable,"39,7m",ATC FRANCE,2025-08-13,False,False
1611777,SFR,AJO,"LTE 700, 5G NR 2100",TELESIÈGE DE LA CLAPPE (PRA-LOUP) 04400 UVERNET FOURS,04226,"44.3672,6.6008",Bâtiment,"12,3m","Commune, communauté de communes",,False,False
1611777,SFR,SUP,UMTS 2100,TELESIÈGE DE LA CLAPPE (PRA-LOUP) 04400 UVERNET FOURS,04226,"44.3672,6.6008",Bâtiment,"12,3m","Commune, communauté de communes",2016-02-08,False,False
1613880,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",RD 52 (LES USAGES) 18140 HERRY,18110,"47.2297,2.9186",Pylône autostable,32m,ATC FRANCE,,False,False
1625994,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100",5 R JACQUES BEZIAT (GRAU D'AGDE) 34300 AGDE,34003,"43.2839,3.4458",Immeuble,"11,5m","Copropriété, Syndic, SCI",,False,False
1625994,SFR,SUP,UMTS 2100,5 R JACQUES BEZIAT (GRAU D'AGDE) 34300 AGDE,34003,"43.2839,3.4458",Immeuble,"11,5m","Copropriété, Syndic, SCI",2008-05-29,False,False
1640614,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LA PLANTADE) 87500 COUSSAC BONNEVAL,87049,"45.5028,1.3411",Pylône autostable,"22,6m",HIVORY,,False,False
1640835,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LES BOUIGES) 87370 LAURIERE,87083,"46.0694,1.4886",Pylône autostable,33m,HIVORY,,False,False
1650577,SFR,ALL,"LTE 1800, LTE 2100, 5G NR 2100",D.917 (LES POUMEROUX) 23170 VERNEIGES,23259,"46.2758,2.3489",Pylône autostable,"36,3m",ATC FRANCE,2025-08-13,False,False
1654194,SFR,AJO,"LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",PL DE L'ÉGLISE EGLISE 14510 HOULGATE,14338,"49.3025,-0.0753",Monument religieux,36m,"Commune, communauté de communes",,False,False
1654194,SFR,SUP,UMTS 2100,PL DE L'ÉGLISE EGLISE 14510 HOULGATE,14338,"49.3025,-0.0753",Monument religieux,36m,"Commune, communauté de communes",2016-07-21,False,False
1661344,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LA GENETELLE) 03360 ST BONNET TRONCAIS,03221,"46.6539,2.6944",Pylône autostable,40m,ATC FRANCE,,False,False
1694773,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LA BROUSSE AU PRETRE) 86700 ANCHE,86003,"46.3419,0.2511",Pylône autostable,"32,8m",HIVORY,,False,False
1701477,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",ROUTE DES TUVES (L HUBAC) 04320 ENTREVAUX,04076,"43.9464,6.8144",Pylône autostable,"10,2m",ATC FRANCE,,False,False
1701477,SFR,SUP,UMTS 2100,ROUTE DES TUVES (L HUBAC) 04320 ENTREVAUX,04076,"43.9464,6.8144",Pylône autostable,"10,2m",ATC FRANCE,2016-09-28,False,False
1712613,SFR,ALL,LTE 1800, (LE GRAND PRE) 86350 ST SECONDIN,86248,"46.3256,0.4878",Pylône autostable,"31,5m",CELLNEX,2025-08-13,False,False
1714573,SFR,AJO,"LTE 2100, 5G NR 2100", (SAY) 42600 PRALONG,42179,"45.6664,4.0111",Pylône autostable,26m,HIVORY,,False,False
1715176,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100",CHEM RURAL LA TREILLE-STATION D'EPURATION (LA TREILLE) 42130 ST SIXTE,42288,"45.7742,3.9875",Pylône autostable,"37,3m",HIVORY,,False,False
1715176,SFR,SUP,UMTS 2100,CHEM RURAL LA TREILLE-STATION D'EPURATION (LA TREILLE) 42130 ST SIXTE,42288,"45.7742,3.9875",Pylône autostable,"37,3m",HIVORY,2011-01-28,False,False
1715946,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",CHÂTEAU D'EAU (AUX PÉTIONS) 89350 TANNERRE EN PUISAYE,89408,"47.7231,3.1519",Château d'eau - réservoir,"29,6m","Syndicat des eaux, Adduction",,False,False
1727653,SRR,AJO,5G NR 3500,CHAMBRE PROFESSIONNELLE CCI DE MAYOTTE (PL MARIAGE) 97605 MAMOUDZOU,97611,"-12.7775,45.2311",Bâtiment,19m,"CCI, Ch Métier, Port Aut, Aéroport",,False,False
1729210,SFR,AJO,"LTE 2100, 5G NR 2100", (LA VRILLIÈRE) 72270 MALICORNE SUR SARTHE,72179,"47.8169,-0.0764",Pylône autostable,"32,1m",HIVORY,,False,False
1741134,SFR,ALL,LTE 2600,RUE DU GÉNÉRAL DE GAULLE D6014 27380 RADEPONT,27487,"49.3722,1.3336",Pylône autostable,"48,5m",HIVORY,2025-08-13,False,False
1748785,SFR,AJO,"LTE 1800, LTE 2100, 5G NR 2100",BOIS DE VILLENEUVE D 141 (LA BROSSE) 41270 DROUE,41075,"48.0194,1.0592",Château d'eau - réservoir,35m,"Commune, communauté de communes",,False,False
1748785,SFR,SUP,UMTS 2100,BOIS DE VILLENEUVE D 141 (LA BROSSE) 41270 DROUE,41075,"48.0194,1.0592",Château d'eau - réservoir,35m,"Commune, communauté de communes",2017-04-07,False,False
1779272,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",ÉGLISE ST-PIERRE 89450 VEZELAY,89446,"47.4656,3.7456",Monument religieux,32m,"Commune, communauté de communes",,False,False
1784219,SFR,SUP,"LTE 700, 5G NR 2100, 5G NR 3500","9, AV DU GÉNÉRAL DE GAULLE RÉSIDENCE PLEIN AIR 68000 COLMAR",68066,"48.0769,7.3481",Immeuble,31m,"Copropriété, Syndic, SCI",,False,False
1784799,SFR,ALL,5G NR 2100, (LA CHAUVINIERE) 37150 LUZILLE,37141,"47.2878,1.0469",Pylône autostable,"27,7m",ATC FRANCE,2025-08-13,False,False
1791703,SFR,AJO,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100",PRES DE LA RN 97 (DOMAINE DE CRESSON) 83790 PIGNANS,83092,"43.3108,6.2542",Pylône autostable,"14,2m",TDF,,False,False
1791703,SFR,SUP,"GSM 1800, UMTS 2100",PRES DE LA RN 97 (DOMAINE DE CRESSON) 83790 PIGNANS,83092,"43.3108,6.2542",Pylône autostable,"14,2m",TDF,2017-03-31,False,False
1817958,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100",ROUTE LES MARRES 83350 RAMATUELLE,83101,"43.2464,6.6406",Pylône tubulaire,12m,BOUYGUES,,False,False
1817958,SFR,SUP,UMTS 2100,ROUTE LES MARRES 83350 RAMATUELLE,83101,"43.2464,6.6406",Pylône tubulaire,12m,BOUYGUES,2017-06-08,False,False
1822444,SFR,AJO,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600",RUE CHAGNOT D7B 21540 BLAISY BAS,21080,"47.3739,4.7375",Pylône autostable,"49,2m",Société Privée,,set(),True
1826305,SFR,AJO,"LTE 1800, LTE 2100, 5G NR 2100",AV DE COMBOURG RD 796 (LA DOUBEL) 35560 BAZOUGES LA PEROUSE,35019,"48.4247,-1.5828",Pylône autostable,"26,6m",HIVORY,,False,False
1826305,SFR,SUP,UMTS 2100,AV DE COMBOURG RD 796 (LA DOUBEL) 35560 BAZOUGES LA PEROUSE,35019,"48.4247,-1.5828",Pylône autostable,"26,6m",HIVORY,2018-09-27,False,False
1846107,SFR,AJO,"LTE 700, LTE 2600, 5G NR 3500",PORT DE PLAISANCE R DES RESISTANTS (KERISPER) 56470 LA TRINITE SUR MER,56258,"47.5922,-3.0264",Pylône autostable,23m,CELLNEX,,False,False
1868083,SFR,AJO,"LTE 700, LTE 2600, 5G NR 3500",8 R JOLIOT CURIE 27150 ETREPAGNY,27226,"49.3086,1.6097",Immeuble,27m,Société HLM,,False,False
1881013,SFR,AJO,"LTE 700, LTE 2600, 5G NR 3500", (POINTE DU RENARD) 29217 LE CONQUET,29040,"48.3542,-4.78",Pylône autostable,34m,TDF,,False,False
1886477,SFR,AJO,"LTE 2100, 5G NR 2100", (LA ROUGERIE) 35680 LOUVIGNE DE BAIS,35161,"48.0578,-1.3081",Pylône autostable,"32,8m",TDF,,False,False
1886477,SFR,SUP,UMTS 2100, (LA ROUGERIE) 35680 LOUVIGNE DE BAIS,35161,"48.0578,-1.3081",Pylône autostable,"32,8m",TDF,2018-03-02,False,False
1943234,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LES GLANDÉES DU BOIS DE JACQUE) 45220 CHUELLES,45097,"47.9922,2.9503",Pylône autostable,42m,HIVORY,,False,False
1949390,SFR,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800", (LA GROSSE PIERRE) 28700 GARANCIERES EN BEAUCE,28169,"48.4336,1.9039",Château d'eau - réservoir,37m,"Syndicat des eaux, Adduction",1996-12-23,False,False
1990873,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (BOIS DES GUILLONIÈRES) 44310 ST COLOMBAN,44155,"47.0267,-1.5725",Pylône autostable,31m,HIVORY,,False,False
1990873,SFR,SUP,UMTS 2100, (BOIS DES GUILLONIÈRES) 44310 ST COLOMBAN,44155,"47.0267,-1.5725",Pylône autostable,31m,HIVORY,2018-10-05,False,False
2017885,SFR,AJO,"LTE 1800, LTE 2100, 5G NR 2100",RUE DES TILLEULS ROUTE D'ARGENCES (LA CARRIÈRE) 14370 BELLENGREVILLE,14057,"49.1247,-0.2194",Pylône tubulaire,27m,HIVORY,,False,False
2059464,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",IMP COMMUNALE 85 (LE PRUNIER) 69870 POULE LES ECHARMEAUX,69160,"46.1261,4.4669",Pylône autostable,32m,HIVORY,,False,False
2059464,SFR,SUP,UMTS 2100,IMP COMMUNALE 85 (LE PRUNIER) 69870 POULE LES ECHARMEAUX,69160,"46.1261,4.4669",Pylône autostable,32m,HIVORY,2019-01-09,False,False
2111398,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",9 R AMPERE 85130 LES LANDES GENUSSON,85119,"46.9686,-1.1297",Pylône autostable,41m,ATC FRANCE,,False,False
2192064,SFR,ALL,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",57 RUE DES MORILLONS 75015 PARIS 15,75115,"48.8325,2.3017",Immeuble,27m,Société HLM,2025-08-13,False,True
2207512,SFR,ALL,LTE 700,ALLEE DES PINS STADE 85150 STE FOY,85214,"46.5469,-1.6786",Pylône tubulaire,31m,"Commune, communauté de communes",2025-08-13,False,False
2245634,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",3283 ROUTE D'ORLEANS 45500 NEVOY,45227,"47.7311,2.5728",Pylône autostable,"34,5m",BOUYGUES,,False,False
2250983,SFR,ALL,5G NR 3500,2 RUE DU PRÉSIDENT WILSON 03200 VICHY,03310,"46.1233,3.4222",Immeuble,41m,"Copropriété, Syndic, SCI",2025-08-13,False,False
2267993,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",DEPARTEMENTALE 776 (LA CROISEE) 22640 PLESTAN,22193,"48.415,-2.3872",Pylône autostable,"30,3m",BOUYGUES,,False,False
2268745,SFR,AJO,5G NR 3500,471 CHEMIN SAINTE GENEVIEVE (CAMPING LE ROUCAN WEST) 34450 VIAS,34332,"43.2872,3.3917",Pylône autostable,21m,"Copropriété, Syndic, SCI",,False,False
2278662,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",PIECE DE LA MONTEE BEL AIR 37800 DRACHE,37098,"47.0617,0.6139",Pylône autostable,"38,7m",BOUYGUES,,False,False
2283330,SFR,ALL,"LTE 700, LTE 2100, 5G NR 2100",LIEU-DIT CHAMP DE LA POINTE (CHAMP DE LA POINTE) 89520 ST SAUVEUR EN PUISAYE,89368,"47.6217,3.2047",Pylône autostable,"44,5m",BOUYGUES,2025-08-13,False,False
2304772,SFR,AJO,"LTE 700, LTE 2100, 5G NR 2100",CHEM DES FRÈRES MINEURS PYL N°99 EDF (LES GILLOUSES) 13430 EYGUIERES,13035,"43.6992,5.04",Pylône autostable,21m,EDF ou GDF,,False,False
2304772,SFR,SUP,UMTS 2100,CHEM DES FRÈRES MINEURS PYL N°99 EDF (LES GILLOUSES) 13430 EYGUIERES,13035,"43.6992,5.04",Pylône autostable,21m,EDF ou GDF,2009-12-09,False,False
2314771,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",RD 978 / D209  ROUTE DE L'ANCIEN COUVENT ETANG DE FAYE 58160 SAUVIGNY LES BOIS,58273,"46.9989,3.2803",Pylône autostable,44m,BOUYGUES,,False,False
2322525,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100", (LA BLUTIERE) 61550 ST EVROULT NOTRE DAME DU BOIS,61386,"48.7928,0.4397",Pylône autostable,"38,3m",BOUYGUES,,False,False
2322525,SFR,SUP,UMTS 2100, (LA BLUTIERE) 61550 ST EVROULT NOTRE DAME DU BOIS,61386,"48.7928,0.4397",Pylône autostable,"38,3m",BOUYGUES,,False,False
2334754,SFR,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",1 RUE DE LA FORET (LES BEAUSSIERS) 41140 ST ROMAIN SUR CHER,41229,"47.3194,1.4219",Pylône haubané,"32,6m",Société Privée,,False,False
