id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support
67819,ORANGE,ALL,LTE 700,LA GROUÉE D 28 28700 UMPEAU,28397,"48.4719,1.6644",Château d'eau - réservoir,30m,"Syndicat des eaux, Adduction"
81600,ORANGE,SUP,"GSM 900, UMTS 900, LTE 800, LTE 1800",R PRINCIPALE DU VILLAGE PRES RN 1 60540 PUISEUX LE HAUBERGER,60517,"49.2236,2.2317",Pylône autostable,37m,ATC FRANCE
87573,FREE MOBILE,ALL,5G NR 3500,9 ALL HEURTEBISE ST SIMÉON 89000 AUXERRE,89024,"47.8092,3.5561",Immeuble,27m,"Commune, communauté de communes"
93598,ORANGE,ALL,LTE 700,LES RIBÈRES - CHÂTEAU D'EAU (LES RIBERES) 36400 MONTGIVRAY,36127,"46.595,1.945",Château d'eau - réservoir,43m,"Syndicat des eaux, Adduction"
267159,ORANGE,ALL,LTE 700,EGLISE DE DOMJEVIN (PÂQUIS) 54450 DOMJEVIN,54163,"48.5753,6.6975",Monument religieux,34m,"Commune, communauté de communes"
335857,ORANGE,SUP,"UMTS 900, LTE 700, LTE 800",CHEM RURAL DIT DE LA CARRIERE (LA CARRIÈRE) 08160 VENDRESSE,8469,"49.6092,4.7931",Pylône autostable,"36,4m",HIVORY
435419,BOUYGUES TELECOM,ALL,5G NR 3500,9 R GUY MOQUET/GABRIEL NOTTELET SQ GUY MOQUET 77290 MITRY MORY,77294,"48.9753,2.6322",Immeuble,"14,3m",Société HLM
435873,FREE MOBILE,ALL,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",RUE DES PRAIRIES LE ROCHER 50400 GRANVILLE,50218,"48.8406,-1.5769",Pylône autostable,56m,TOTEM
438547,ORANGE,ALL,"LTE 700, LTE 800",AV DE LA GARE GARE SNCF 78820 JUZIERS,78327,"48.9922,1.8461",Pylône autostable,21m,CELLNEX
438779,FREE MOBILE,ALL,5G NR 3500,PL D'ALSACE LORRAINE EGLISE ST GERMAIN 59420 MOUVAUX,59421,"50.6986,3.1333",Monument religieux,55m,"Commune, communauté de communes"
440613,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",R DE LA PORCELAINE ZI DU PONTEIX (LA VIGNE DE CRÉZIN) 87220 FEYTIAT,87065,"45.8153,1.3061",Pylône tubulaire,30m,TOTEM
