id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
38063,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100",TERRAIN SNCF (LA MOUILLE) 71250 CORTAMBERT,71146,"46.4528,4.6742",Pylône autostable,35m,HIVORY,False,False
435129,BOUYGUES TELECOM,SUP,GSM 900,38 R LAJARTE 33000 BORDEAUX,33063,"44.8253,-0.5708",Immeuble,"20,5m","Copropriété, Syndic, SCI",False,False
436081,BOUYGUES TELECOM,AJO,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",9001  RTE DE GRAVELINES CHEM MILITAIRE EXTÉRIEUR 62100 CALAIS,62193,"50.9569,1.8758",Château d'eau - réservoir,"44,5m","Syndicat des eaux, Adduction",False,False
436081,BOUYGUES TELECOM,SUP,UMTS 2100,9001  RTE DE GRAVELINES CHEM MILITAIRE EXTÉRIEUR 62100 CALAIS,62193,"50.9569,1.8758",Château d'eau - réservoir,"44,5m","Syndicat des eaux, Adduction",False,False
437515,BOUYGUES TELECOM,AJO,"LTE 1800, LTE 2100, 5G NR 2100",CHEM RURAL DU SOURDON (LE DESSUS DES BRICOLLES) 51530 ST MARTIN D ABLOIS,51002,"49.0097,3.8547",Pylône autostable,31m,HIVORY,False,False
437635,BOUYGUES TELECOM,SUP,GSM 900,26 R DU TRANSVAAL 8 R PIERRE CURIE 21000 DIJON,21231,"47.3156,5.04",Immeuble,"31,0m","Commune, communauté de communes",False,False
438407,BOUYGUES TELECOM,AJO,"LTE 700, 5G NR 3500",(LES BOUYGUETTES) 24680 GARDONNE,24194,"44.8353,0.3511",Pylône autostable,"48,5m",TDF,False,False
440149,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, 5G NR 2100",45 R DU MARECHAL LECLERC 62114 SAINS EN GOHELLE,62737,"50.4469,2.6839",Immeuble,"21,0m",Société Privée,False,False
440202,BOUYGUES TELECOM,ALL,LTE 700,7 R. JOSEPH PRIESTLEY ZI (LA MILLETIÈRE) 37000 TOURS,37261,"47.4367,0.7033",Pylône autostable,"48,0m",BOUYGUES,False,False
443025,BOUYGUES TELECOM,SUP,GSM 900,PEAGE DE VOIRON CHAMPFEUILLET A48 (CHAMPFEUILLET) 38430 MOIRANS,38239,"45.3481,5.5664",Pylône autostable,"30,0m",Sociétés d'Autoroutes,False,False
443047,BOUYGUES TELECOM,SUP,GSM 900,4 R GILLES DURANS HLM ST ALYRE 63000 CLERMONT FERRAND,63113,"45.7853,3.0803",Immeuble,"35,0m",Société HLM,False,False
443402,BOUYGUES TELECOM,SUP,GSM 900,7 AV DE LA GARE 69270 FONTAINES SUR SAONE,69088,"45.8375,4.8458",Immeuble,"21,0m",Société HLM,False,False
444884,BOUYGUES TELECOM,SUP,GSM 900,43 BD DU 11 NOV. 1918 402 R RAPHAEL DUBOIS FAC DES SCIENCES 69100 VILLEURBANNE,69266,"45.78,4.8661",Immeuble,"43,0m","État, Ministère",False,False
445298,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100",80 AV DE L'EUROPE 4 AV GUSTAVE EIFFEL CHÂTEAU D'EAU DE LA PETITE ARCHE 37000 TOURS,37261,"47.4242,0.6961",Château d'eau - réservoir,"54,0m","Syndicat des eaux, Adduction",False,False
446589,BOUYGUES TELECOM,AJO,"LTE 1800, LTE 2100, 5G NR 2100",(BERGAIROUZE) 34370 CREISSAN,34089,"43.3917,2.9842",Pylône autostable,30m,ATC FRANCE,False,False
449458,BOUYGUES TELECOM,ALL,"LTE 1800, LTE 2100, 5G NR 2100",PYLÔNE TDF DE L'ARGENTIÈRE (SERRE DES FOURCHES) 05120 ST MARTIN DE QUEYRIERES,05151,"44.8086,6.5683",Pylône autostable,"44,0m",TDF,False,False
453965,BOUYGUES TELECOM,AJO,LTE 2600,103 BD DENFERT ROCHEREAU 38500 VOIRON,38563,"45.3614,5.5964",Bâtiment,"27,0m",Société Privée,False,False
453965,BOUYGUES TELECOM,SUP,"GSM 900, UMTS 2100",103 BD DENFERT ROCHEREAU 38500 VOIRON,38563,"45.3614,5.5964",Bâtiment,"27,0m",Société Privée,False,False
454999,BOUYGUES TELECOM,SUP,GSM 900,5 AV DES LILAS 59770 MARLY,59383,"50.34,3.5469",Immeuble,"31,0m",Société Privée,False,False
456943,BOUYGUES TELECOM,ALL,LTE 2100,CD 559 RES L'AZUR (LECQUES) 83270 ST CYR SUR MER,83112,"43.1822,5.6947",Immeuble,"13,0m","Copropriété, Syndic, SCI",False,False
457378,BOUYGUES TELECOM,AJO,"LTE 2100, LTE 2600, 5G NR 2100",PORT FLUVIAL ZI-CANAL TERRAY 10400 NOGENT SUR SEINE,10268,"48.4908,3.4892",Silo,"66,1m",Société Privée,False,False
457868,BOUYGUES TELECOM,ALL,GSM 900,28 BD  ESTÉREL RÉSIDENCE ESTÉREL ST LOUIS (MIRAMAR) 06590 THEOULE SUR MER,06138,"43.4886,6.9428",Immeuble,"21,5m",Société Privée,False,False
