id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
30037,FREE MOBILE,ALL,LTE 2100,(LA SOUCARÈDE) 34790 GRABELS,34116,"43.6492,3.7703",Pylône autostable,39m,HIVORY,False,False
53214,TELCO OI,ALL,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",758 AV DES MASCAREIGNES (CAMBUSTON) 97440 ST ANDRE,97409,"-20.9361,55.6475",Pylône autostable,"30,0m",SFR,False,False
79414,FREE MOBILE,SUP,"UMTS 2100, LTE 1800, LTE 2600, 5G NR 700",(LAGARRISSAL) 46120 LEYME,46170,"44.8039,1.8933",Pylône autostable,"45,0m",ATC FRANCE,False,False
226529,FREE MOBILE,AJO,5G NR 3500,VERS LE BOS GAUDIN (LA GAUDINIÈRE) 85630 BARBATRE,85011,"46.9417,-2.1731",Pylône autostable,"28,0m",ATC FRANCE,False,False
247617,FREE MOBILE,ALL,5G NR 3500,R DES VIRE VENTS ZONE ARTISANALE DE L'AIGUILLE (L'AIGUILLE EST) 40460 SANGUINET,40287,"44.4967,-1.0547",Pylône autostable,"45,0m",HIVORY,False,False
335857,FREE MOBILE,SUP,"UMTS 900, LTE 700",CHEM RURAL DIT DE LA CARRIERE (LA CARRIÈRE) 08160 VENDRESSE,08469,"49.6092,4.7931",Pylône autostable,"36,4m",HIVORY,True,False
345772,TELCO OI,ALL,"LTE 2100, LTE 2600",11 CHEM DE NOTRE DAME DE ROSAIRE (BELLEVUE) 97440 ST ANDRE,97409,"-20.9875,55.6308",Mât béton,16m,Telco OI,False,False
348159,TELCO OI,ALL,"LTE 2100, LTE 2600",RESERVOIR PANIANDY 97412 BRAS PANON,97402,"-20.9903,55.6614",Mât béton,16m,Telco OI,False,False
350065,FREE MOBILE,SUP,"UMTS 900, LTE 700",ROUTE DE CHAVIGNY (TERRE DE LA GRILLE) 02600 LONGPONT,02438,"49.2781,3.2133",Pylône tubulaire,"15,0m",HIVORY,True,False
443843,FREE MOBILE,ALL,5G NR 3500,RTE DE MEZOS (LE TERNET) 40170 ST JULIEN EN BORN,40266,"44.0636,-1.225",Château d'eau - réservoir,"59,0m","Commune, communauté de communes",False,False
443908,FREE MOBILE,ALL,LTE 2100,FACE 7 R BEAUMARCHAIS (LA BERCHÈRE) 95580 ANDILLY,95014,"49.0072,2.3125",Pylône autostable,"45,0m",HIVORY,False,False
446311,FREE MOBILE,ALL,5G NR 3500,(SHOTTEN) 67280 OBERHASLACH,67342,"48.5553,7.3267",Pylône autostable,"32,0m",TDF,False,False
447433,FREE MOBILE,SUP,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",NAU LA BUCHE PROCHE STATION D'ÉPURATION PAR LAGUNAGE (LES VORDRES) 51130 BLANCS COTEAUX,51612,"48.9608,4.0317",Pylône autostable,"42,7m",TDF,False,False
447888,FREE MOBILE,ALL,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 3500",PLAN DU PETIT TINAL CHÂTEAU D'EAU (QUARTIER MAURIN) 34970 LATTES,34129,"43.5614,3.87",Château d'eau - réservoir,"31,0m","Commune, communauté de communes",False,True
453351,FREE MOBILE,ALL,5G NR 3500,CHEM RURAL N°44 DES LONGUES RAIES (ST JACQUES) 78580 MAULE,78380,"48.9044,1.8497",Pylône autostable,"40,0m",TDF,False,False
453820,FREE MOBILE,ALL,5G NR 3500,6 RUE OLIVIER DE SERRES COOPÉRATIVE AGRICOLE 89400 MIGENNES,89257,"47.9639,3.5272",Silo,"43,4m",Société Privée,False,False
455513,FREE MOBILE,AJO,5G NR 3500,R DE LA BUTTE ST-MARTIN (BUTTE ST-MARTIN - BOIS FERRAND) 91580 ETRECHY,91226,"48.4822,2.1836",Pylône autostable,"37,2m",TDF,False,False
460507,FREE MOBILE,ALL,5G NR 3500,(LE CRAS) 68910 LABAROCHE,68173,"48.1211,7.1992",Pylône autostable,"36,0m",TDF,False,False
462423,FREE MOBILE,SUP,"LTE 2100, LTE 2600",(PARC TURGLOAN) 22220 PLOUGUIEL,22221,"48.8011,-3.2364",Pylône autostable,"45,0m",BOUYGUES,False,False
462463,FREE MOBILE,ALL,"LTE 2100, 5G NR 700, 5G NR 3500",AVENUE MICHEL CRÉPEAU RUE DE LA BONETTE SCI CESIM (BOUT BLANC) 17000 LA ROCHELLE,17300,"46.1508,-1.1589",Pylône tubulaire,"30,0m",TOTEM,False,False
462823,FREE MOBILE,ALL,5G NR 3500,CHEM RURAL N°2 DU CHANOT PRES RESERVOIR (AU CHANOT) 25110 GROSBOIS,25298,"47.3464,6.3153",Pylône autostable,"35,3m",TDF,False,False
462823,FREE MOBILE,SUP,LTE 2100,CHEM RURAL N°2 DU CHANOT PRES RESERVOIR (AU CHANOT) 25110 GROSBOIS,25298,"47.3464,6.3153",Pylône autostable,"35,3m",TDF,False,False
463434,FREE MOBILE,AJO,5G NR 3500,1 R DE L'ARBALÈTE 51100 REIMS,51454,"49.2564,4.0322",Immeuble,"24,0m","Copropriété, Syndic, SCI",False,False
464062,FREE MOBILE,AJO,5G NR 3500,(KÉRIVOAL) 29400 LANDIVISIAU,29105,"48.5169,-4.0522",Pylône autostable,"35,0m",TDF,False,False
468536,FREE MOBILE,ALL,5G NR 3500,LA BRUYERE D 19 (BEAU SOLEIL) 61410 LA FERTE MACE,61168,"48.6119,-0.3506",Pylône autostable,"68,0m",TDF,False,False
468892,FREE MOBILE,ALL,5G NR 3500,FARGEAS STATION TDF UZERCHE 2 19140 UZERCHE,19276,"45.4286,1.5722",Pylône autostable,"43,5m",TDF,False,False
473016,FREE MOBILE,ALL,5G NR 3500,STATION TDF (BEL AIR) 69170 TARARE,69243,"45.9011,4.4233",Pylône autostable,"39,0m",TDF,False,False
476333,FREE MOBILE,ALL,5G NR 3500,RÉSERVOIR D'EAU (LE HAUT DE CRÉMONT) 52170 CHEVILLON,52123,"48.5283,5.1161",Pylône autostable,"43,0m",TDF,False,False
477054,FREE MOBILE,AJO,5G NR 3500,FERRIÈRES 15600 ST ETIENNE DE MAURS,15184,"44.7206,2.2208",Pylône autostable,"34,0m",TDF,False,False
477386,FREE MOBILE,AJO,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",265 AV DE L'AGATHOIS RES LES GEMAUX 34000 MONTPELLIER,34172,"43.6339,3.8236",Immeuble,"35,7m",Société HLM,False,True
479633,FREE MOBILE,AJO,5G NR 3500,335 CHE DE LA CHARRIERE ATELIERS MUNICIPAUX 50440 LA HAGUE,50041,"49.6733,-1.7294",Pylône autostable,"37,0m",TDF,False,False
482475,FREE MOBILE,AJO,5G NR 3500,RTE DE SACLAY ECOLE POLYTECHNIQUE VOIE COMMUNALE DE LA VAUVE 91120 PALAISEAU,91477,"48.7131,2.2194",Pylône autostable,"30,0m",HIVORY,False,True
485457,FREE MOBILE,ALL,5G NR 3500,20 R JOSEPH DELON 92160 ANTONY,92002,"48.7497,2.2986",Immeuble,"53,0m",Société HLM,False,False
487207,FREE MOBILE,ALL,5G NR 3500,128BIS R DU GL DE GAULLE 77410 ANNET SUR MARNE,77005,"48.9219,2.7167",Château d'eau - réservoir,"34,3m","Syndicat des eaux, Adduction",False,False
487711,FREE MOBILE,ALL,"LTE 2100, 5G NR 700, 5G NR 3500",R JEAN BARTOLINI LE MILAN (LA RODE) 83000 TOULON,83137,"43.1203,5.9433",Immeuble,"65,0m",Société HLM,False,False
498884,FREE MOBILE,SUP,"LTE 2100, LTE 2600, 5G NR 700",(LE CHÊNE) 51210 MECRINGES,51359,"48.8594,3.5233",Pylône autostable,"40,0m",TDF,False,False
501782,TELCO OI,ALL,"LTE 2100, LTE 2600, 5G NR 700",LE TAPAGE 97421 ST LOUIS,97414,"-21.2303,55.4514",Pylône autostable,"20,0m",TDF,False,False
501790,TELCO OI,ALL,"LTE 2100, LTE 2600",CIMETIERE DE ST BERNARD 97400 ST DENIS,97411,"-20.9131,55.4031",Pylône autostable,"32,5m",TDF,False,False
502900,FREE MOBILE,ALL,5G NR 700,R DU PONT NEUF - LE STADE 56370 LE TOUR DU PARC,56252,"47.5322,-2.6614",Pylône autostable,"27,1m",ATC FRANCE,False,False
503582,FREE MOBILE,SUP,"LTE 2100, LTE 2600",REGONIS 09300 MONTFERRIER,09206,"42.8853,1.8119",Pylône autostable,"26,0m",TDF,False,False
505049,FREE MOBILE,AJO,5G NR 3500,LE PÉRÉ 04270 MEZEL,04121,"44.0236,6.1958",Pylône autostable,"48,0m",TDF,False,False
505592,FREE MOBILE,AJO,5G NR 3500,CHEM DU CHAMP DE LA CAILLE 86280 ST BENOIT,86214,"46.5631,0.3486",Château d'eau - réservoir,"75,0m","Syndicat des eaux, Adduction",False,False
508098,FREE MOBILE,SUP,"LTE 2100, LTE 2600",CH DU RÉSERVOIR DU HUGA (DUNE DES SAUVIELS) 33680 LACANAU,33214,"45.015,-1.1683",Pylône autostable,"65,0m",TDF,False,False
508875,FREE MOBILE,AJO,5G NR 3500,2 AV DU GL LECLERC HÔTEL ANTARÈS 45800 ST JEAN DE BRAYE,45284,"47.9142,1.9647",Immeuble,"28,0m",Société Privée,False,False
509027,FREE MOBILE,ALL,"UMTS 900, LTE 1800, LTE 2600",8 R DE FONTANILLES 48000 MENDE,48095,"44.5225,3.5153",Immeuble,"30,0m",Société HLM,False,True
509412,FREE MOBILE,ALL,5G NR 3500,25/27 BD DE LA VERRERIE 13008 MARSEILLE 08,13208,"43.2339,5.3606",Immeuble,"18,0m",Société HLM,False,False
514246,FREE MOBILE,SUP,"LTE 2100, LTE 2600, 5G NR 700",(LA SIGNOLE HAUTE) 43800 VOREY,43267,"45.1825,3.8994",Pylône autostable,"29,0m",TDF,False,False
514799,FREE MOBILE,SUP,"LTE 2100, LTE 2600",LES MOLLIETS STATION TDF DE VACHERESSE (LA CHAUX) 74500 CHEVENOZ,74073,"46.3433,6.6467",Pylône autostable,"41,0m",TDF,False,False
515843,FREE MOBILE,ALL,5G NR 3500,R DE DIESEN PYLÔNE TDF (MULHEN GRAT) 57880 HAM SOUS VARSBERG,57288,"49.1786,6.6486",Pylône autostable,"40,0m",TDF,False,False
516264,FREE MOBILE,AJO,5G NR 3500,STATION TDF (MONTCHOUVET) 43260 ST ETIENNE LARDEYROL,43181,"45.0694,3.9897",Pylône autostable,"33,0m",TDF,False,False
518396,FREE MOBILE,SUP,"LTE 2100, LTE 2600",(PUY-SERVIER) 63650 LA MONNERIE LE MONTEL,63231,"45.8753,3.6156",Pylône autostable,"33,0m",TDF,False,False
520881,FREE MOBILE,AJO,5G NR 3500,R DES MERCIERS 85490 BENET,85020,"46.3689,-0.6006",Château d'eau - réservoir,"58,0m","Syndicat des eaux, Adduction",False,True
521551,FREE MOBILE,ALL,5G NR 3500,R D'EPERNON (D4) - FACE AU CIMETIERE (LA SABLONNIÈRE) 28210 COULOMBS,28113,"48.6503,1.5519",Pylône autostable,"48,0m",TDF,False,False
521777,FREE MOBILE,ALL,5G NR 3500,RTE DE MONTFORT (BOIS DE LA FONTANETTE) 73600 ST MARCEL,73253,"45.4953,6.5653",Pylône autostable,"24,0m",TDF,False,False
522940,FREE MOBILE,SUP,"LTE 2100, LTE 2600, 5G NR 700",RTE D'AIGRE NORD CHARENTE BOIS 16700 LA FAYE,16136,"46.0192,0.1883",Pylône autostable,"42,0m",TDF,False,False
523709,FREE MOBILE,SUP,LTE 2100,CHEM DE ST-MARC (HUBAC DE ST-MARC) 04500 ALLEMAGNE EN PROVENCE,04004,"43.7822,6.0131",Pylône autostable,"32,5m",TDF,False,False
526783,FREE MOBILE,SUP,5G NR 700,267 BD DE LA PAIX 64000 PAU,64445,"43.3211,-0.3608",Immeuble,"41,0m",Société HLM,False,False
528884,FREE MOBILE,ALL,LTE 2100,12 R JOFFRE PRES INTERSEC RN 114 ET D 11 66200 ELNE,66065,"42.6028,2.9711",Pylône tubulaire,"37,0m",TOTEM,False,False
534143,FREE MOBILE,SUP,5G NR 700,A 7-SENS PARIS-PROVINCE (ECH DE BOLLENE) 84500 BOLLENE,84019,"44.2956,4.7458",Pylône autostable,"38,0m",Sociétés d'Autoroutes,False,False
534740,FREE MOBILE,ALL,LTE 2100,CHEM VICINAL N° 4 R ROGER RENARD 95270 BELLOY EN FRANCE,95056,"49.1047,2.3625",Pylône autostable,"35,0m",HIVORY,False,False
535960,FREE MOBILE,SUP,"LTE 2100, LTE 2600, 5G NR 700",333 MONTÉE DES CHAMPAUDES 38690 LE GRAND LEMPS,38182,"45.4031,5.4228",Pylône autostable,"29,6m",TDF,False,False
536065,FREE MOBILE,ALL,5G NR 3500,(LA RATELIÈRE) 43240 ST JUST MALMONT,43205,"45.3331,4.3236",Pylône autostable,"33,0m",TDF,False,False
538407,FREE MOBILE,ALL,5G NR 3500,"111-113  , R LÉON DESOYER 78100 ST GERMAIN EN LAYE",78551,"48.8992,2.0839",Château d'eau - réservoir,"55,0m","Commune, communauté de communes",False,False
540830,FREE MOBILE,ALL,LTE 2100,CHEM DE BOURROC CIMETIÈRE (BOURROC) 40200 AUREILHAN,40019,"44.2133,-1.185",Pylône autostable,"40,0m",HIVORY,False,False
541499,FREE MOBILE,AJO,5G NR 3500,R DES FOLIES (LE TIVOLI) 55600 MONTMEDY,55351,"49.5275,5.3661",Pylône autostable,"46,4m",TDF,False,False
545850,FREE MOBILE,AJO,"UMTS 900, LTE 700, LTE 1800, 5G NR 700, 5G NR 3500",R DES BRUYÈRES PYLÔNE FT (LA CROIX ROUGE) 29870 LANNILIS,29117,"48.5786,-4.5208",Pylône autostable,"36,0m",TOTEM,False,True
546302,FREE MOBILE,ALL,5G NR 3500,CHEM RURAL DE LAGUT (LE BAYLE) 33420 BRANNE,33071,"44.8231,-0.175",Pylône autostable,"56,0m",TOTEM,False,False
547375,FREE MOBILE,AJO,5G NR 3500,D. 51 - ROUTE DE DAMVILLE (HAMEAU DE VILLENEUVE) 27930 ANGERVILLE LA CAMPAGNE,27017,"48.9808,1.1528",Pylône autostable,"48,0m",HIVORY,False,False
547543,FREE MOBILE,ALL,5G NR 3500,STATION TDF OUEST DE PLANFOY (NEYRANCHE) 42660 PLANFOY,42172,"45.3847,4.4333",Pylône autostable,"28,0m",TDF,False,False
548323,FREE MOBILE,ALL,5G NR 3500,V COMMUNALE (LES CHAUMES GRANDJEAN) 58700 PREMERY,58218,"47.1786,3.3242",Pylône autostable,"25,5m",TDF,False,False
