id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
33163,ORANGE,ALL,LTE 2100,LA GRANDE ROMANIE RD 394 (LES FRICHES) 51460 COURTISOLS,51193,"49.0125,4.565",Pylône autostable,"30,0m",HIVORY,False,False
53750,ORANGE,AJO,"LTE 700, LTE 1800, LTE 2100",R DES ACACIAS (LA BROCHARDIÈRE) 53950 LA CHAPELLE ANTHENAISE,53056,"48.1167,-0.6683",Pylône autostable,"30,0m",TOTEM,False,False
74395,ORANGE,ALL,5G NR 700,LE CHÂTEAU LE BOURG OUEST 17130 MONTENDRE,17240,"45.2844,-0.4117",Monument historique,"20,0m","Commune, communauté de communes",False,False
88001,ORANGE,ALL,5G NR 700,AV CARNOT RN 191 91590 CERNY,91129,"48.4794,2.3186",Pylône tubulaire,"35,0m",ATC FRANCE,False,False
89842,ORANGE,ALL,"LTE 700, LTE 1800, 5G NR 2100",SITE TDF RN 145 (LE BOUEIX) 23170 NOUHANT,23145,"46.2742,2.3819",Pylône autostable,"30,0m",TDF,False,False
90340,ORANGE,ALL,LTE 700,RD128 AUTOCOMMUTATEUR FT (L'AIGUETTE) 26450 CHAROLS,26078,"44.5917,4.9569",Pylône autostable,"36,0m",TOTEM,False,False
90876,ORANGE,ALL,"LTE 700, 5G NR 700, 5G NR 3500",VC 1 DU CD 765 À POULLAN SUR MER (MENEZ TROMILLOU) 29790 CONFORT MEILARS,29145,"48.0578,-4.4206",Pylône autostable,"30,0m",TOTEM,False,False
92895,ORANGE,ALL,5G NR 700,LES CLEFS DE LA FORET - 37 R D'ARTOIS (BELLE ASSISE) 33600 PESSAC,33318,"44.7917,-0.6819",Immeuble,"23,0m","Copropriété, Syndic, SCI",False,False
93412,ORANGE,ALL,"5G NR 700, 5G NR 3500",N.157 - AIRE D'ERBRÉE (LA HUPERIE) 35500 ERBREE,35105,"48.0911,-1.0956",Pylône autostable,"35,0m",TOTEM,False,False
93750,ORANGE,ALL,LTE 2100,RTE DE MONTS. (CHÂTEAU D'EAU) 37250 SORIGNY,37250,"47.2456,0.6922",Château d'eau - réservoir,"50,0m","Commune, communauté de communes",False,False
