id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
35041,SFR,ALL,"GSM 900, UMTS 900, LTE 800, LTE 2100",20 B  PL DE BÉTHUNE 59000 LILLE,59350,"50.6325,3.0619",Immeuble,"20,0m",Établissement de soins,False,False
50473,SRR,ALL,"LTE 700, LTE 2100, 5G NR 3500",RIVIERE DES ROCHES (CAMP BEAUVALLON) 97437 ST BENOIT,97410,"-21.0083,55.6931",Mât béton,"16,0m",Société Privée,False,False
53086,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",CHEM MAZEAU MADURAN 97416 ST LEU,97413,"-21.2086,55.3017",Pylône autostable,"16,0m",Société Réunionnaise de Radiotéléphonie,False,False
267430,SFR,AJO,LTE 1800,2 R DE LA LOGE HALLE CASTELLANE 34000 MONTPELLIER,34172,"43.61,3.8772",Immeuble,9m,"Commune, communauté de communes",False,False
267430,SFR,SUP,UMTS 2100,2 R DE LA LOGE HALLE CASTELLANE 34000 MONTPELLIER,34172,"43.61,3.8772",Immeuble,"9,0m","Commune, communauté de communes",False,False
292094,SRR,AJO,"LTE 700, 5G NR 3500",N°10 CHEM DE NORMANDIE 97418 LE TAMPON,97422,"-21.2403,55.5414",Mât béton,"16,0m",Société Réunionnaise de Radiotéléphonie,False,False
334901,SFR,SUP,UMTS 2100,(LES ISCLES DU TEMPLE) 84300 CAVAILLON,84035,"43.8656,4.9906",Pylône tubulaire,"35,0m",TOTEM,False,False
435336,SFR,AJO,"LTE 700, 5G NR 2100, 5G NR 3500",11D AV DU DR CHARLES HOUILLON IMM DOMIAL 67600 SELESTAT,67462,"48.2625,7.4586",Immeuble,21m,Société HLM,False,False
435452,SFR,AJO,"LTE 700, 5G NR 2100, 5G NR 3500",ZA DU HAIRY CARREFOUR GIRATOIRE 67230 HUTTENHEIM,67216,"48.3686,7.5822",Pylône tubulaire,"36,5m",HIVORY,False,False
435656,SFR,AJO,LTE 700,CHEM DE REMEMBREMENT (L'EPINETTE) 54560 MALAVILLERS,54337,"49.3594,5.87",Pylône autostable,64m,TDF,False,False
