id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
22134,Gouv Nelle Calédonie (OPT),AJO,UMTS 900,R P.COSTE ROUTE DE LA CORNICHE CENTRAL OPT 98809 LE MONT DORE,98817,"-22.2783,166.5761",Pylône autostable,"25,0m",Office des Postes et Télécom,False,False
22134,Gouv Nelle Calédonie (OPT),SUP,GSM 900,R P.COSTE ROUTE DE LA CORNICHE CENTRAL OPT 98809 LE MONT DORE,98817,"-22.2783,166.5761",Pylône autostable,"25,0m",Office des Postes et Télécom,False,False
22156,Gouv Nelle Calédonie (OPT),AJO,LTE 1800,LOT 335 (MUEO NEPOUI) 98827 POYA,98827,"-21.3283,164.9961",Pylône autostable,"62,0m",Office des Postes et Télécom,False,False
22162,Gouv Nelle Calédonie (OPT),AJO,LTE 800,AV EMILE FROUIN LOT 175 98850 KOUMAC,98812,"-20.5589,164.28",Pylône autostable,"26,0m",Office des Postes et Télécom,False,False
22162,Gouv Nelle Calédonie (OPT),SUP,GSM 900,AV EMILE FROUIN LOT 175 98850 KOUMAC,98812,"-20.5589,164.28",Pylône autostable,"26,0m",Office des Postes et Télécom,False,False
27691,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",(LES MAZIÈRES) 24400 LES LECHES,24234,"44.9425,0.42",Pylône autostable,"30,0m",HIVORY,False,False
29729,SFR,SUP,5G NR 2100,RTE COMMUNALE N°1 DE LA RUASSE (LES PINONS) 33550 LANGOIRAN,33226,"44.7061,-0.3939",Pylône autostable,"20,0m",HIVORY,False,False
30037,FREE MOBILE,ALL,LTE 2100,(LA SOUCARÈDE) 34790 GRABELS,34116,"43.6492,3.7703",Pylône autostable,39m,HIVORY,False,False
30037,SFR,AJO,LTE 700,(LA SOUCARÈDE) 34790 GRABELS,34116,"43.6492,3.7703",Pylône autostable,"39,0m",HIVORY,False,False
30309,ORANGE,ALL,5G NR 700,14 AV DE MUSCAT CAVE COOPÉRATIVE DE FRONTIGNAN 34110 FRONTIGNAN,34108,"43.4422,3.7469",Bâtiment,18m,"Coopérative Agricole, Vinicole",False,False
30517,ORANGE,AJO,"LTE 700, 5G NR 3500",R DES MONTS D'ARRÉES ZI DE CHEDEVILLE 35140 ST AUBIN DU CORMIER,35253,"48.2617,-1.4078",Pylône autostable,"30,0m",HIVORY,False,False
33163,ORANGE,ALL,"LTE 700, LTE 2100",LA GRANDE ROMANIE RD 394 (LES FRICHES) 51460 COURTISOLS,51193,"49.0125,4.565",Pylône autostable,30m,HIVORY,False,False
35041,SFR,ALL,"GSM 900, UMTS 900, LTE 800, LTE 2100",20 B  PL DE BÉTHUNE 59000 LILLE,59350,"50.6325,3.0619",Immeuble,20m,Établissement de soins,False,False
38053,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100",EN CHARRON (LA VERNUSSE) 71400 CURGY,71162,"47.0042,4.4053",Pylône autostable,"35,6m",HIVORY,False,False
38063,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100",TERRAIN SNCF (LA MOUILLE) 71250 CORTAMBERT,71146,"46.4528,4.6742",Pylône autostable,35m,HIVORY,False,False
39087,SFR,SUP,"GSM 1800, UMTS 2100","4, R PAUL RAOUL DAUTRY 75014 PARIS 14",75114,"48.8408,2.3203",Bâtiment,"15,0m",SNCF Réseau,False,False
39475,SFR,AJO,5G NR 2100,13 AV BOUDON 75016 PARIS 16,75116,"48.8494,2.2697",Immeuble,"37,4m","Copropriété, Syndic, SCI",False,False
47117,ORANGE,AJO,5G NR 700,455 PROMENADE DES ANGLAIS IMM AÉROPÔLE-ZAC DE L'ARENAS 06000 NICE,06088,"43.6689,7.2147",Bâtiment,"35,0m","Copropriété, Syndic, SCI",False,False
50473,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",RIVIERE DES ROCHES (CAMP BEAUVALLON) 97437 ST BENOIT,97410,"-21.0083,55.6931",Mât béton,"16,0m",Société Privée,False,False
52373,BOUYGUES TELECOM,ALL,5G NR 2100,CHEM RURAL DU VERT VIQUET (LE VERT VIQUET) 14100 MAROLLES,14403,"49.1419,0.3606",Pylône autostable,"44,8m",TDF,False,False
52706,ORANGE,AJO,5G NR 2100,(MOULIN D'EZANVILLE) 28160 FRAZE,28161,"48.2644,1.1511",Pylône autostable,"45,0m",TOTEM,False,False
53030,SRR,ALL,"LTE 700, LTE 2100",147 R FRANCOIS DE MAHY (STE CLOTILDE) 97400 ST DENIS,97411,"-20.8978,55.4853",Immeuble,"22,4m",Société HLM,False,False
53040,SRR,ALL,LTE 700,RTE DU MOUFIA 97400 ST DENIS,97411,"-20.8978,55.4914",Immeuble,"19,6m",Société HLM,False,False
53082,SRR,AJO,"LTE 700, LTE 2100",23 CHEM DE LA SOURCE CHALOUPE ST LEU 97416 ST LEU,97413,"-21.1767,55.33",Pylône autostable,"20,0m",Société Réunionnaise de Radiotéléphonie,False,False
53086,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",CHEM MAZEAU MADURAN 97416 ST LEU,97413,"-21.2086,55.3017",Pylône autostable,"16,0m",Société Réunionnaise de Radiotéléphonie,False,False
53204,SRR,ALL,LTE 700,R FERDINAND HUBERT 97437 ST BENOIT,97410,"-21.0397,55.7189",Immeuble,16m,Société HLM,False,False
