id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
27691,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",(LES MAZIÈRES) 24400 LES LECHES,24234,"44.9425,0.42",Pylône autostable,"30,0m",HIVORY,False,False
38053,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100",EN CHARRON (LA VERNUSSE) 71400 CURGY,71162,"47.0042,4.4053",Pylône autostable,"35,6m",HIVORY,False,False
38063,BOUYGUES TELECOM,AJO,"LTE 700, LTE 1800, LTE 2100",TERRAIN SNCF (LA MOUILLE) 71250 CORTAMBERT,71146,"46.4528,4.6742",Pylône autostable,35m,HIVORY,False,False
52373,BOUYGUES TELECOM,ALL,5G NR 2100,CHEM RURAL DU VERT VIQUET (LE VERT VIQUET) 14100 MAROLLES,14403,"49.1419,0.3606",Pylône autostable,"44,8m",TDF,False,False
69427,BOUYGUES TELECOM,SUP,GSM 900,6 AV DES ANGLAIS 06150 CANNES,06029,"43.5619,7.0178",Immeuble,"27,2m","Copropriété, Syndic, SCI",False,False
70743,BOUYGUES TELECOM,SUP,GSM 900,(AVENAUD) 15500 ST PONCY,15207,"45.1633,3.1667",Pylône autostable,"14,0m",Inconnu,False,False
77813,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600",10 R LOSSERAND 37000 TOURS,37261,"47.4025,0.6894",Monument religieux,"29,0m","Commune, communauté de communes",False,False
88965,BOUYGUES TELECOM,ALL,LTE 700,12 R LINANDES ORANGES 95000 CERGY,95127,"49.0456,2.0656",Immeuble,"25,9m",Société Privée,False,False
88965,BOUYGUES TELECOM,SUP,GSM 900,12 R LINANDES ORANGES 95000 CERGY,95127,"49.0456,2.0656",Immeuble,"25,9m",Société Privée,False,False
265248,BOUYGUES TELECOM,SUP,GSM 900,CH D'EAU (LES HUGUENOTS) 28310 GOMMERVILLE,28183,"48.3381,1.94",Château d'eau - réservoir,"37,0m","Syndicat des eaux, Adduction",False,False
265520,BOUYGUES TELECOM,SUP,GSM 900,(COTE DE VAITE) 25360 CHAMPLIVE,25116,"47.2931,6.2358",Pylône autostable,"22,0m",TDF,False,False
278901,BOUYGUES TELECOM,SUP,GSM 900,25 B R DES JUIFS 59214 QUIEVY,59485,"50.1694,3.4206",Pylône autostable,"12,0m",BOUYGUES,False,False
278946,BOUYGUES TELECOM,AJO,"LTE 700, LTE 2600, 5G NR 3500",VC N°503 RÉSERVOIR D'EAU DE STE MARTHE (DUBOURG) 47430 STE MARTHE,47253,"44.4339,0.1489",Pylône autostable,"40,6m",HIVORY,False,False
307890,BOUYGUES TELECOM,SUP,GSM 900,CHEM RURAL DIT R D'EN HAUT 77520 SOGNOLLES EN MONTOIS,77454,"48.5125,3.1614",Château d'eau - réservoir,"23,0m",Inconnu,False,False
328658,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 700, LTE 800",VILLEMORON (LES CHEMOTS) 52160 VALS DES TILLES,52094,"47.6719,5.1078",Pylône tubulaire,"21,5m",HIVORY,True,False
335857,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 700, LTE 800",CHEM RURAL DIT DE LA CARRIERE (LA CARRIÈRE) 08160 VENDRESSE,08469,"49.6092,4.7931",Pylône autostable,"36,4m",HIVORY,True,False
342020,BOUYGUES TELECOM,SUP,GSM 900,(FONT FROIDE) 38142 AURIS,38020,"45.0794,6.085",Bâtiment,"7,4m",ORANGE Services Fixes,False,False
342022,BOUYGUES TELECOM,SUP,GSM 900,(FONT FROIDE) 38142 AURIS,38020,"45.0794,6.085",Bâtiment,"3,3m",ORANGE Services Fixes,False,False
350065,BOUYGUES TELECOM,SUP,"UMTS 900, LTE 700, LTE 800",ROUTE DE CHAVIGNY (TERRE DE LA GRILLE) 02600 LONGPONT,02438,"49.2781,3.2133",Pylône tubulaire,"15,0m",HIVORY,True,False
435129,BOUYGUES TELECOM,SUP,GSM 900,38 R LAJARTE 33000 BORDEAUX,33063,"44.8253,-0.5708",Immeuble,"20,5m","Copropriété, Syndic, SCI",False,False
435140,BOUYGUES TELECOM,SUP,GSM 900,2-4 ALLÉE DES PLATANES 92170 VANVES,92075,"48.8194,2.285",Immeuble,"39,0m",Société HLM,False,False
435326,BOUYGUES TELECOM,ALL,5G NR 2100,R. DES OISEAUX ANGLE DE LA R DE LA PAPETERIE (DUNE D'UDOS) 40200 MIMIZAN,40184,"44.2067,-1.2603",Pylône autostable,60m,TOTEM,False,False
435815,BOUYGUES TELECOM,SUP,GSM 900,21 R DR PINGAT 21000 DIJON,21231,"47.3306,5.0314",Immeuble,"24,0m",Société Privée,False,False
436067,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2600, 5G NR 3500",D561/ VC RELAIS TDF (LE CHENOT) 53810 CHANGE,53054,"48.1017,-0.7669",Pylône haubané,90m,TDF,False,False
436081,BOUYGUES TELECOM,AJO,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",9001  RTE DE GRAVELINES CHEM MILITAIRE EXTÉRIEUR 62100 CALAIS,62193,"50.9569,1.8758",Château d'eau - réservoir,"44,5m","Syndicat des eaux, Adduction",False,False
436081,BOUYGUES TELECOM,SUP,UMTS 2100,9001  RTE DE GRAVELINES CHEM MILITAIRE EXTÉRIEUR 62100 CALAIS,62193,"50.9569,1.8758",Château d'eau - réservoir,"44,5m","Syndicat des eaux, Adduction",False,False
436518,BOUYGUES TELECOM,ALL,"LTE 700, 5G NR 3500",AV DES TUCS CAMPING MUNICIPAL (LE PENON) 40510 SEIGNOSSE,40296,"43.6931,-1.4278",Pylône tubulaire,36m,TOTEM,False,False
437047,BOUYGUES TELECOM,AJO,LTE 800,1830 AV DU GÉNÉRAL DE GAULLE CHÂTEAU D'EAU 59910 BONDUES,59090,"50.72,3.11",Château d'eau - réservoir,"35,6m",SFR,False,False
437067,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100",RD 58 - QUARTIER DE BROYES CENTRALE THERMIQUE - PARC À CHARBON 13590 MEYREUIL,13060,"43.4697,5.4972",Pylône autostable,33m,TOTEM,False,False
437366,BOUYGUES TELECOM,AJO,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",R DU CHATEAU D'EAU (PIECE DE LA GARENNE) 17132 MESCHERS SUR GIRONDE,17230,"45.5669,-0.9622",Pylône autostable,"50,5m",TDF,False,True
437485,BOUYGUES TELECOM,SUP,GSM 900,RUE DE LA SOULANE QUARTIER LA PAILLADE 34000 MONTPELLIER,34172,"43.6436,3.8178",Château d'eau - réservoir,"52,0m","Commune, communauté de communes",False,False
437494,BOUYGUES TELECOM,AJO,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",C.D. N°5 TERRAIN AGRICOLE (THALAECKER) 68500 BERGHOLTZ,68029,"47.9125,7.2556",Pylône autostable,42m,TOTEM,False,False
437515,BOUYGUES TELECOM,AJO,"LTE 1800, LTE 2100, 5G NR 2100",CHEM RURAL DU SOURDON (LE DESSUS DES BRICOLLES) 51530 ST MARTIN D ABLOIS,51002,"49.0097,3.8547",Pylône autostable,31m,HIVORY,False,False
437635,BOUYGUES TELECOM,SUP,GSM 900,26 R DU TRANSVAAL 8 R PIERRE CURIE 21000 DIJON,21231,"47.3156,5.04",Immeuble,"31,0m","Commune, communauté de communes",False,False
437763,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",HALLE DES SPORTS (IMP DES SANGLIERS) 60580 COYE LA FORET,60172,"49.1361,2.4675",Pylône tubulaire,"38,0m",HIVORY,False,False
