id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
30037,FREE MOBILE,ALL,LTE 2100,(LA SOUCARÈDE) 34790 GRABELS,34116,"43.6492,3.7703",Pylône autostable,39m,HIVORY,False,False
53214,TELCO OI,ALL,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",758 AV DES MASCAREIGNES (CAMBUSTON) 97440 ST ANDRE,97409,"-20.9361,55.6475",Pylône autostable,30m,SFR,False,False
76301,FREE MOBILE,ALL,LTE 2100,ENTRE RD 111 ET GR 42 (QUARTIER DES JONCS) 30650 ROCHEFORT DU GARD,30217,"43.9628,4.7247",Pylône autostable,"34,0m",TDF,False,False
79414,FREE MOBILE,SUP,"UMTS 2100, LTE 1800, LTE 2600, 5G NR 700",(LAGARRISSAL) 46120 LEYME,46170,"44.8039,1.8933",Pylône autostable,"45,0m",ATC FRANCE,False,False
80978,FREE MOBILE,SUP,5G NR 700,PLACE DURUTTE EGLISE 57000 METZ,57463,"49.1128,6.2033",Monument religieux,"26,2m","Commune, communauté de communes",False,False
87573,FREE MOBILE,AJO,5G NR 3500,9 ALL HEURTEBISE ST SIMÉON 89000 AUXERRE,89024,"47.8092,3.5561",Immeuble,"27,0m","Commune, communauté de communes",False,False
119595,FREE MOBILE,SUP,5G NR 700,LA GARDE 43370 ST CHRISTOPHE SUR DOLAISON,43174,"45.0086,3.8542",Pylône autostable,"16,0m",TDF,False,False
226529,FREE MOBILE,AJO,5G NR 3500,VERS LE BOS GAUDIN (LA GAUDINIÈRE) 85630 BARBATRE,85011,"46.9417,-2.1731",Pylône autostable,"28,0m",ATC FRANCE,False,False
247617,FREE MOBILE,ALL,5G NR 3500,R DES VIRE VENTS ZONE ARTISANALE DE L'AIGUILLE (L'AIGUILLE EST) 40460 SANGUINET,40287,"44.4967,-1.0547",Pylône autostable,"45,0m",HIVORY,False,False
325213,FREE MOBILE,ALL,LTE 700,(SIRGEANNE) 10210 ETOURVY,10143,"47.9539,4.1353",Pylône tubulaire,15m,HIVORY,True,False
328658,FREE MOBILE,SUP,"UMTS 900, LTE 700",VILLEMORON (LES CHEMOTS) 52160 VALS DES TILLES,52094,"47.6719,5.1078",Pylône tubulaire,"21,5m",HIVORY,True,False
332549,FREE MOBILE,ALL,"LTE 2100, 5G NR 3500",CHEM RURAL DES GRENATIÈRES (LA VILLETTE) 73290 LA MOTTE SERVOLEX,73179,"45.5867,5.8572",Pylône autostable,"32,5m",ATC FRANCE,False,False
335857,FREE MOBILE,SUP,"UMTS 900, LTE 700",CHEM RURAL DIT DE LA CARRIERE (LA CARRIÈRE) 08160 VENDRESSE,08469,"49.6092,4.7931",Pylône autostable,"36,4m",HIVORY,True,False
345772,TELCO OI,ALL,"LTE 2100, LTE 2600",11 CHEM DE NOTRE DAME DE ROSAIRE (BELLEVUE) 97440 ST ANDRE,97409,"-20.9875,55.6308",Mât béton,16m,Telco OI,False,False
348159,TELCO OI,ALL,"LTE 2100, LTE 2600",RESERVOIR PANIANDY 97412 BRAS PANON,97402,"-20.9903,55.6614",Mât béton,16m,Telco OI,False,False
350065,FREE MOBILE,SUP,"UMTS 900, LTE 700",ROUTE DE CHAVIGNY (TERRE DE LA GRILLE) 02600 LONGPONT,02438,"49.2781,3.2133",Pylône tubulaire,"15,0m",HIVORY,True,False
435336,FREE MOBILE,ALL,5G NR 3500,11D AV DU DR CHARLES HOUILLON IMM DOMIAL 67600 SELESTAT,67462,"48.2625,7.4586",Immeuble,21m,Société HLM,False,False
435861,FREE MOBILE,ALL,5G NR 3500,PRÈS N.10 (LA FRINGALE) 28200 LA CHAPELLE DU NOYER,28075,"48.0367,1.2983",Pylône autostable,104m,TDF,False,False
436107,FREE MOBILE,ALL,5G NR 3500,CR N°32 PYLONE FRANCE TELECOM (LA BUTTE) 50300 ST SENIER SOUS AVRANCHES,50554,"48.6875,-1.3475",Pylône autostable,60m,TOTEM,False,False
437079,FREE MOBILE,AJO,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",(LE CUL DE BOEUF) 60820 BORAN SUR OISE,60086,"49.1658,2.3706",Pylône autostable,42m,TOTEM,False,True
437743,FREE MOBILE,ALL,5G NR 3500,RN20 (LA BOURDINIÈRE) 41600 NOUAN LE FUZELIER,41161,"47.4753,2.04",Pylône autostable,"43,0m",TDF,False,False
437896,FREE MOBILE,SUP,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",LA ROUVEIROLLE PRÈS D45 13360 ROQUEVAIRE,13086,"43.3531,5.6194",Pylône autostable,"28,0m",ATC FRANCE,False,False
438410,FREE MOBILE,ALL,5G NR 3500,(LA TOUR D'ALBON) 26140 ALBON,26002,"45.2511,4.8744",Pylône autostable,"28,0m",TDF,False,False
438410,FREE MOBILE,SUP,"LTE 2100, LTE 2600",(LA TOUR D'ALBON) 26140 ALBON,26002,"45.2511,4.8744",Pylône autostable,"28,0m",TDF,False,False
439220,FREE MOBILE,ALL,5G NR 3500,BLD DES FLANDRES (CÔTE STE-CATHERINE) 55000 BAR LE DUC,55029,"48.7781,5.1711",Pylône autostable,"55,0m",TDF,False,False
440143,FREE MOBILE,AJO,5G NR 3500,"1, AV MICHEL DE L'HÔPITAL 02100 ST QUENTIN",02691,"49.8608,3.2689",Immeuble,"67,2m",Établissement de soins,False,False
440282,FREE MOBILE,AJO,5G NR 3500,BD LEMEUNIER DE LA RAILLÈRE PRÈS DU CHATEAU D'EAU 61140 BAGNOLES DE L ORNE NORMANDIE,61483,"48.5514,-0.4089",Pylône autostable,46m,TDF,False,False
441532,FREE MOBILE,AJO,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",370 AV JACQUES COEUR LA MILETRIE 86000 POITIERS,86194,"46.5558,0.3903",Château d'eau - réservoir,"35,3m",Particulier,False,True
441538,FREE MOBILE,AJO,5G NR 3500,47 R DE ZURICH 67000 STRASBOURG,67482,"48.5797,7.7586",Immeuble,"32,7m","Copropriété, Syndic, SCI",False,True
442662,FREE MOBILE,SUP,"LTE 2100, LTE 2600, 5G NR 700",(ST-MAURICE) 88210 VIEUX MOULIN,88506,"48.3897,6.9925",Pylône autostable,"28,0m",TDF,False,False
442740,FREE MOBILE,SUP,"UMTS 900, UMTS 2100, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",34-36 PL JEAN JAURES 13001 MARSEILLE 01,13201,"43.2947,5.3856",Immeuble,"33,0m","Copropriété, Syndic, SCI",False,True
443266,FREE MOBILE,ALL,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",R DU CHEM DE FER DÉPÔT DE LA VILLE DE THIONVILLE 57100 THIONVILLE,57672,"49.3586,6.1814",Pylône tubulaire,"30,0m",TOTEM,False,True
443660,FREE MOBILE,ALL,5G NR 3500,4-6  R DE LA VERDURE 68400 RIEDISHEIM,68271,"47.7439,7.3686",Immeuble,"30,0m","Commune, communauté de communes",False,False
443843,FREE MOBILE,ALL,5G NR 3500,RTE DE MEZOS (LE TERNET) 40170 ST JULIEN EN BORN,40266,"44.0636,-1.225",Château d'eau - réservoir,"59,0m","Commune, communauté de communes",False,False
443908,FREE MOBILE,ALL,LTE 2100,FACE 7 R BEAUMARCHAIS (LA BERCHÈRE) 95580 ANDILLY,95014,"49.0072,2.3125",Pylône autostable,"45,0m",HIVORY,False,False
445011,FREE MOBILE,ALL,5G NR 3500,RTE DE TRONJOLY TRONJOLY BIHAN 29270 CARHAIX PLOUGUER,29024,"48.2639,-3.5847",Pylône autostable,"34,0m",TDF,False,False
445734,FREE MOBILE,AJO,5G NR 3500,R EDOUARD BRANLY ZI DE LA BUZENIÈRE (LA BUZENIÈRE) 85500 LES HERBIERS,85109,"46.86,-1.0339",Pylône autostable,47m,HIVORY,False,False
445927,FREE MOBILE,ALL,"UMTS 900, LTE 700, LTE 1800, LTE 2100, LTE 2600, 5G NR 700",(PUECH DE CORDES) 81100 CASTRES,81065,"43.6281,2.2403",Pylône autostable,"37,0m",TOTEM,False,True
446188,FREE MOBILE,SUP,"LTE 2100, LTE 2600, 5G NR 700",CHEM RURAL NUMERO 3 (LA GRANGE GUILLAUME) 10370 VILLENAUXE LA GRANDE,10420,"48.6067,3.5525",Pylône autostable,"43,0m",TDF,False,False
446311,FREE MOBILE,ALL,5G NR 3500,(SHOTTEN) 67280 OBERHASLACH,67342,"48.5553,7.3267",Pylône autostable,"32,0m",TDF,False,False
447007,FREE MOBILE,ALL,5G NR 3500,1/5 ALLÉE SANTOS DUMONT 94310 ORLY,94054,"48.7461,2.4111",Immeuble,"38,3m","Copropriété, Syndic, SCI",False,False
447677,FREE MOBILE,SUP,"LTE 2100, LTE 2600",RTE DU MONT (LE GRAND MAS) 03170 ST ANGEL,03217,"46.3658,2.6417",Pylône autostable,"30,0m",TDF,False,False
447721,FREE MOBILE,AJO,5G NR 3500,ANCIEN RESERVOIR D EAU (BOIS DE FERRIERES) 76220 FERRIERES EN BRAY,76260,"49.4772,1.7531",Pylône autostable,44m,TDF,False,False
