id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,is_zb,is_new
29729,SFR,SUP,5G NR 2100,RTE COMMUNALE N°1 DE LA RUASSE (LES PINONS) 33550 LANGOIRAN,33226,"44.7061,-0.3939",Pylône autostable,"20,0m",HIVORY,False,False
30037,SFR,AJO,LTE 700,(LA SOUCARÈDE) 34790 GRABELS,34116,"43.6492,3.7703",Pylône autostable,"39,0m",HIVORY,False,False
35041,SFR,ALL,"GSM 900, UMTS 900, LTE 800, LTE 2100",20 B  PL DE BÉTHUNE 59000 LILLE,59350,"50.6325,3.0619",Immeuble,20m,Établissement de soins,False,False
39087,SFR,SUP,"GSM 1800, UMTS 2100","4, R PAUL RAOUL DAUTRY 75014 PARIS 14",75114,"48.8408,2.3203",Bâtiment,"15,0m",SNCF Réseau,False,False
39475,SFR,AJO,5G NR 2100,13 AV BOUDON 75016 PARIS 16,75116,"48.8494,2.2697",Immeuble,"37,4m","Copropriété, Syndic, SCI",False,False
50473,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",RIVIERE DES ROCHES (CAMP BEAUVALLON) 97437 ST BENOIT,97410,"-21.0083,55.6931",Mât béton,"16,0m",Société Privée,False,False
53030,SRR,ALL,"LTE 700, LTE 2100",147 R FRANCOIS DE MAHY (STE CLOTILDE) 97400 ST DENIS,97411,"-20.8978,55.4853",Immeuble,"22,4m",Société HLM,False,False
53040,SRR,ALL,LTE 700,RTE DU MOUFIA 97400 ST DENIS,97411,"-20.8978,55.4914",Immeuble,"19,6m",Société HLM,False,False
53082,SRR,AJO,"LTE 700, LTE 2100",23 CHEM DE LA SOURCE CHALOUPE ST LEU 97416 ST LEU,97413,"-21.1767,55.33",Pylône autostable,"20,0m",Société Réunionnaise de Radiotéléphonie,False,False
53086,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",CHEM MAZEAU MADURAN 97416 ST LEU,97413,"-21.2086,55.3017",Pylône autostable,"16,0m",Société Réunionnaise de Radiotéléphonie,False,False
53204,SRR,ALL,LTE 700,R FERDINAND HUBERT 97437 ST BENOIT,97410,"-21.0397,55.7189",Immeuble,16m,Société HLM,False,False
67433,SFR,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",LES GRANDS POULENS PARC D'ACTIVITÉ DE LA LOIRE 44360 CORDEMAIS,44045,"47.2817,-1.8806",Pylône autostable,"37,0m",HIVORY,False,False
265618,SFR,AJO,LTE 1800,7 R DU PETIT ST JEAN 34000 MONTPELLIER,34172,"43.6083,3.8753",Immeuble,14m,"Copropriété, Syndic, SCI",False,False
265618,SFR,SUP,UMTS 2100,7 R DU PETIT ST JEAN 34000 MONTPELLIER,34172,"43.6083,3.8753",Immeuble,"14,0m","Copropriété, Syndic, SCI",False,False
267430,SFR,AJO,LTE 1800,2 R DE LA LOGE HALLE CASTELLANE 34000 MONTPELLIER,34172,"43.61,3.8772",Immeuble,9m,"Commune, communauté de communes",False,False
267430,SFR,SUP,UMTS 2100,2 R DE LA LOGE HALLE CASTELLANE 34000 MONTPELLIER,34172,"43.61,3.8772",Immeuble,"9,0m","Commune, communauté de communes",False,False
269558,SFR,AJO,LTE 1800,46 R DE L'UNIVERSITÉ 34000 MONTPELLIER,34172,"43.6139,3.8772",Immeuble,"16,0m",Particulier,False,False
269558,SFR,SUP,UMTS 2100,46 R DE L'UNIVERSITÉ 34000 MONTPELLIER,34172,"43.6139,3.8772",Immeuble,"16,0m",Particulier,False,False
284186,SFR,AJO,LTE 1800,1 R DU PETIT SCEL 34000 MONTPELLIER,34172,"43.6108,3.8747",Immeuble,22m,"Copropriété, Syndic, SCI",False,False
284186,SFR,SUP,UMTS 2100,1 R DU PETIT SCEL 34000 MONTPELLIER,34172,"43.6108,3.8747",Immeuble,"22,0m","Copropriété, Syndic, SCI",False,False
289944,SRR,AJO,"LTE 700, LTE 2100, 5G NR 3500",R ANTIMENE (CAROSSE) 97411 ST PAUL,97415,"-21.0725,55.2694",Mât béton,16m,Société Réunionnaise de Radiotéléphonie,False,False
292094,SRR,AJO,"LTE 700, 5G NR 3500",N°10 CHEM DE NORMANDIE 97418 LE TAMPON,97422,"-21.2403,55.5414",Mât béton,"16,0m",Société Réunionnaise de Radiotéléphonie,False,False
296827,SRR,ALL,"LTE 700, LTE 2100",CHEM DU MAIDO LE GUILLAUME (PETITE FRANCE) 97411 ST PAUL,97415,"-21.0456,55.3306",Mât béton,"16,0m",Société Réunionnaise de Radiotéléphonie,False,False
311396,SRR,ALL,"UMTS 2100, LTE 1800, LTE 2600",CCD N° 4 (N'GOUJA) 97625 KANI KELI,97609,"-12.9592,45.0842",Mât béton,16m,Société Réunionnaise de Radiotéléphonie,False,False
311652,SFR,AJO,LTE 700,1161 R DE LAS SORBES COMPLEXE SPORTIF ALLAIN DELLYLE 34000 MONTPELLIER,34172,"43.6128,3.8511",Pylône tubulaire,"20,0m",HIVORY,False,False
311652,SFR,SUP,5G NR 3500,1161 R DE LAS SORBES COMPLEXE SPORTIF ALLAIN DELLYLE 34000 MONTPELLIER,34172,"43.6128,3.8511",Pylône tubulaire,"20,0m",HIVORY,False,False
331735,SRR,ALL,"LTE 700, LTE 1800, LTE 2100",RN1 (HAMOURO) 97660 DEMBENI,97607,"-12.8661,45.1928",Pylône autostable,12m,Société Réunionnaise de Radiotéléphonie,False,False
334901,SFR,SUP,UMTS 2100,(LES ISCLES DU TEMPLE) 84300 CAVAILLON,84035,"43.8656,4.9906",Pylône tubulaire,"35,0m",TOTEM,False,False
335857,SFR,ALL,"UMTS 900, LTE 700, LTE 800",CHEM RURAL DIT DE LA CARRIERE (LA CARRIÈRE) 08160 VENDRESSE,08469,"49.6092,4.7931",Pylône autostable,"36,4m",HIVORY,False,False
350373,SFR,SUP,UMTS 2100,8 R DELABORDÈRE 92200 NEUILLY SUR SEINE,92051,"48.8803,2.255",Bâtiment,"17,5m","Copropriété, Syndic, SCI",False,False
403830,SRR,ALL,"LTE 700, LTE 2100",(R DU DISPENSAIRE) 97620 CHIRONGUI,97606,"-12.8944,45.1422",Mât béton,12m,Société Réunionnaise de Radiotéléphonie,False,False
406272,SFR,AJO,LTE 700,D.13 (CLABÈRES) 64350 ARRICAU BORDES,64052,"43.5011,-0.1428",Mât,12m,TOTEM,True,False
419369,SFR,AJO,LTE 700,72 ROUTE DES CREUSES 74000 ANNECY,74010,"45.8919,6.0908",Pylône tubulaire,"10,6m",SFR,False,False
435193,SFR,ALL,5G NR 3500,101 B  R CHARLES MICHELS 36100 ISSOUDUN,36088,"46.9394,1.9967",Château d'eau - réservoir,59m,"Syndicat des eaux, Adduction",False,False
435336,SFR,AJO,"LTE 700, 5G NR 2100, 5G NR 3500",11D AV DU DR CHARLES HOUILLON IMM DOMIAL 67600 SELESTAT,67462,"48.2625,7.4586",Immeuble,21m,Société HLM,False,False
435452,SFR,AJO,"LTE 700, 5G NR 2100, 5G NR 3500",ZA DU HAIRY CARREFOUR GIRATOIRE 67230 HUTTENHEIM,67216,"48.3686,7.5822",Pylône tubulaire,"36,5m",HIVORY,False,False
435656,SFR,AJO,LTE 700,CHEM DE REMEMBREMENT (L'EPINETTE) 54560 MALAVILLERS,54337,"49.3594,5.87",Pylône autostable,64m,TDF,False,False
